player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Marash Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,10,0.46,8,0,0,1,1,2,0.09,0,0,0,1,1,0,Matches
Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,31,1.50,24,1,5,0,1,4,0.19,2,0,2,0,0,0,Matches
Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,30,1989,15.7,51,3.26,29,8,4,5,5,0,0.00,0,0,0,0,0,0,Matches
Jasmin Kurtić,si SVN,"MF,FW",Parma,it Serie A,30,1989,16.5,32,1.94,19,11,0,1,1,2,0.12,2,0,0,0,0,0,Matches
Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,12,1.26,8,1,1,0,2,3,0.31,1,0,1,0,1,0,Matches
Dereck Kutesa,ch SUI,"FW,MF",Reims,fr Ligue 1,21,1997,5.9,7,1.19,5,0,1,0,1,2,0.34,1,0,1,0,0,0,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,de Bundesliga,19,2000,7.5,18,2.39,11,0,3,3,1,4,0.53,4,0,0,0,0,0,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,15,1.37,13,1,0,1,0,2,0.18,1,0,0,1,0,0,Matches
Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,3,1.45,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Andrea La Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,12,1.95,8,0,0,4,0,1,0.16,0,0,0,1,0,0,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,62,2.49,47,0,3,4,8,9,0.36,8,0,0,0,1,0,Matches
Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,58,2.79,36,0,5,9,8,13,0.62,5,0,3,4,1,0,Matches
Riccardo Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.1,3,2.76,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,4,0.15,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,15,0.51,15,0,0,0,0,3,0.10,3,0,0,0,0,0,Matches
Jack Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,50,2.13,41,0,6,0,3,17,0.72,13,0,4,0,0,0,Matches
Stefan Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,60,1.99,54,2,2,0,2,7,0.23,5,0,0,0,2,0,Matches
Diego Lainez,mx MEX,"MF,FW",Betis,es La Liga,19,2000,3.9,4,1.03,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,51,2.25,37,10,2,1,1,1,0.04,0,1,0,0,0,0,Matches
Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,31,1988,4.2,9,2.12,7,0,1,0,1,1,0.24,1,0,0,0,0,0,Matches
Érik Lamela,ar ARG,"MF,FW",Tottenham,eng Premier League,27,1992,13.5,47,3.48,27,5,3,4,7,9,0.67,3,1,0,3,1,1,Matches
Tariq Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,2000,0.4,1,2.81,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tariq Lamptey,eng ENG,DF,Brighton,eng Premier League,18,2000,6.5,10,1.53,6,1,1,1,1,2,0.31,1,1,0,0,0,0,Matches
Loïck Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,1992,10.3,4,0.39,3,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
Michael Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,1991,6.0,6,0.99,4,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,1988,3.5,1,0.29,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Henri Lansbury,eng ENG,MF,Aston Villa,eng Premier League,28,1990,2.2,2,0.92,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,26,1993,15.3,57,3.72,39,11,1,1,5,5,0.33,2,0,0,0,3,0,Matches
Gianluca Lapadula,it ITA,FW,Lecce,it Serie A,29,1990,17.9,46,2.57,30,0,6,1,9,6,0.33,3,0,1,0,2,0,Matches
Aymeric Laporte,fr FRA,DF,Manchester City,eng Premier League,25,1994,12.2,8,0.66,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Danilo Larangeira,br BRA,DF,Bologna,it Serie A,35,1984,27.4,16,0.58,16,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Larra,es ESP,"FW,MF",Athletic Club,es La Liga,21,1997,2.8,4,1.44,0,1,0,1,2,1,0.36,0,0,0,0,1,0,Matches
Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,27.1,47,1.73,38,0,3,2,4,3,0.11,1,0,2,0,0,0,Matches
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,1993,23.1,7,0.30,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Paul Lasne,fr FRA,"MF,FW",Brest,fr Ligue 1,30,1989,13.6,31,2.28,26,0,1,1,3,2,0.15,2,0,0,0,0,0,Matches
Toni Lato,es ESP,"DF,MF",Osasuna,es La Liga,21,1997,5.2,7,1.34,7,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Danny Latza,de GER,MF,Mainz 05,de Bundesliga,29,1989,15.3,32,2.10,27,0,1,1,3,4,0.26,2,0,1,0,1,0,Matches
Vincent Laurini,fr FRA,DF,Parma,it Serie A,30,1989,9.2,12,1.30,11,0,0,0,1,2,0.22,2,0,0,0,0,0,Matches
Wesley Lautoa,nc NCL,"MF,DF",Dijon,fr Ligue 1,31,1987,20.8,16,0.77,15,0,1,0,0,2,0.10,2,0,0,0,0,0,Matches
Diego Laxalt,uy URU,"DF,MF",Torino,it Serie A,26,1993,6.6,8,1.21,7,1,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Diego Laxalt,uy URU,DF,Milan,it Serie A,26,1993,1.9,6,3.14,5,1,0,0,0,1,0.52,1,0,0,0,0,0,Matches
Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,eng Premier League,23,1996,5.3,8,1.50,4,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Valentino Lazaro,at AUT,"DF,MF",Inter,it Serie A,23,1996,3.6,14,3.90,9,3,0,1,1,1,0.28,1,0,0,0,0,0,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,28,1990,34.0,97,2.85,74,5,12,5,1,17,0.50,14,0,2,1,0,0,Matches
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,26.8,57,2.13,50,1,1,2,3,6,0.22,4,0,0,2,0,0,Matches
Mickaël Le Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,2,1.80,1,0,0,1,0,1,0.90,0,0,0,1,0,0,Matches
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,10,0.38,10,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Damien Le Tallec,fr FRA,"MF,DF",Montpellier,fr Ligue 1,29,1990,27.3,26,0.95,22,1,0,0,2,3,0.11,2,0,0,0,0,1,Matches
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,23,1.92,17,0,1,0,5,2,0.17,2,0,0,0,0,0,Matches
Rafael Leão,pt POR,FW,Milan,it Serie A,20,1999,14.7,52,3.54,38,0,11,1,2,6,0.41,3,0,2,0,1,0,Matches
Adrien Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mathew Leckie,au AUS,"DF,FW",Hertha BSC,de Bundesliga,28,1991,2.2,2,0.92,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,2,0.07,1,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,61,2.44,47,1,6,5,2,8,0.32,7,0,0,1,0,0,Matches
Jordan Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,7,0.75,4,0,3,0,0,2,0.21,1,0,1,0,0,0,Matches
Wu Lei,cn CHN,"FW,MF",Espanyol,es La Liga,27,1991,19.1,25,1.31,17,0,4,3,1,2,0.10,1,0,0,1,0,0,Matches
Toni Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,5,0.44,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moritz Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,16,2.10,14,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Lucas Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,36,1.79,33,1,0,2,0,2,0.10,2,0,0,0,0,0,Matches
Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iñigo Lekue,es ESP,"FW,DF",Athletic Club,es La Liga,26,1993,6.9,14,2.02,8,1,4,1,0,2,0.29,1,0,1,0,0,0,Matches
Nicolas Lemaître,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,19,1.85,10,4,2,3,0,1,0.10,1,0,0,0,0,0,Matches
Tim Lemperle,de GER,"FW,MF",Köln,de Bundesliga,17,2002,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,14,0.52,14,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,7,1.27,6,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches
Bernd Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,42,1.67,32,5,3,2,0,4,0.16,4,0,0,0,0,0,Matches
Donovan Léon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,1,0.73,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro León,es ESP,"MF,FW",Eibar,es La Liga,32,1986,21.1,65,3.09,31,26,4,3,1,5,0.24,3,2,0,0,0,0,Matches
Sergio León,es ESP,FW,Levante,es La Liga,30,1989,7.5,7,0.94,3,0,0,3,1,1,0.13,0,0,0,1,0,0,Matches
Lukas Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,13.4,25,1.86,23,0,0,1,1,2,0.15,2,0,0,0,0,0,Matches
Mehdi Léris,fr FRA,"MF,FW",Sampdoria,it Serie A,21,1998,4.4,14,3.17,9,1,2,1,1,1,0.23,1,0,0,0,0,0,Matches
Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,34,1.13,28,0,2,0,4,2,0.07,2,0,0,0,0,0,Matches
Karlo Letica,hr CRO,GK,SPAL,it Serie A,22,1997,9.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,100,3.26,68,0,12,10,10,15,0.49,9,0,4,0,2,0,Matches
Jamal Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,32,1.25,26,2,3,0,1,1,0.04,1,0,0,0,0,0,Matches
Aaron Leya Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,19,2.20,13,0,1,1,4,1,0.12,0,0,0,0,1,0,Matches
Stephan Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,18,1.21,12,5,0,0,1,2,0.13,2,0,0,0,0,0,Matches
Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,64,3.87,38,20,3,2,1,10,0.60,6,3,1,0,0,0,Matches
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,8,0.40,6,0,0,1,1,2,0.10,2,0,0,0,0,0,Matches
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,9,0.33,8,0,0,0,1,2,0.07,1,0,0,0,1,0,Matches
Isaac Lihadji,fr FRA,"DF,MF",Marseille,fr Ligue 1,17,2002,0.3,1,3.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,3,1.38,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anderson Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.6,6,9.31,2,1,2,1,0,1,1.55,1,0,0,0,0,0,Matches
Lucas Lima,br BRA,"FW,DF",Nantes,fr Ligue 1,27,1991,3.0,9,3.00,5,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Limbombe,be BEL,"FW,MF",Nantes,fr Ligue 1,25,1994,1.7,3,1.79,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches
Karol Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,21.4,61,2.85,54,3,0,2,2,9,0.42,8,0,0,1,0,0,Matches
Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,eng Premier League,26,1992,10.4,38,3.66,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches
Pol Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,28.2,62,2.20,52,2,5,3,0,3,0.11,2,0,1,0,0,0,Matches
Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,14,0.54,13,0,0,0,1,2,0.08,1,0,0,0,1,0,Matches
Fernando Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,19,3.41,14,0,0,4,1,2,0.36,1,0,0,1,0,0,Matches
Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,es La Liga,24,1995,15.2,27,1.78,21,0,4,0,2,7,0.46,3,0,2,0,2,0,Matches
Gautier Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,eng Premier League,23,1996,16.6,59,3.56,44,9,2,1,3,6,0.36,5,0,0,1,0,0,Matches
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,7.5,15,2.00,13,0,1,0,1,1,0.13,1,0,0,0,0,0,Matches
Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,25,1.63,22,0,0,1,2,2,0.13,2,0,0,0,0,0,Matches
Jürgen Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,10,1.70,4,0,2,3,1,2,0.34,0,0,1,1,0,0,Matches
Jürgen Locadia,nl NED,"MF,FW",Brighton,eng Premier League,25,1993,1.0,1,1.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,27.2,87,3.20,73,7,2,2,3,8,0.29,8,0,0,0,0,0,Matches
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,31,1.16,28,0,0,1,2,2,0.08,2,0,0,0,0,0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,eng Premier League,23,1996,2.3,2,0.87,2,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,1,0.47,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,3,0.48,1,1,0,1,0,1,0.16,0,1,0,0,0,0,Matches
Shane Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,31,2.00,25,0,1,4,1,3,0.19,1,0,0,2,0,0,Matches
Matthew Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,6,0.94,6,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,31,2.02,19,7,1,2,2,2,0.13,1,0,0,1,0,0,Matches
Ademola Lookman,eng ENG,"MF,FW",RB Leipzig,de Bundesliga,21,1997,3.4,13,3.79,10,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rony Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,1,0.67,1,0,0,0,0,1,0.67,1,0,0,0,0,0,Matches
Rony Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,2,2.25,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Adrián López,es ESP,"FW,MF",Osasuna,es La Liga,31,1988,16.0,42,2.62,38,0,2,1,1,3,0.19,2,0,0,1,0,0,Matches
David López,es ESP,"DF,MF",Espanyol,es La Liga,29,1989,27.3,29,1.06,26,1,0,0,2,4,0.15,3,0,0,0,1,0,Matches
Diego López,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,5,0.14,1,4,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Javi López,es ESP,DF,Alavés,es La Liga,17,2002,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Javi López,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,20,1.30,17,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Lluis López,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,4,1.20,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maxime Lopez,fr FRA,"MF,FW",Marseille,fr Ligue 1,21,1997,12.3,35,2.84,28,4,2,0,1,5,0.41,4,1,0,0,0,0,Matches
Pau López,es ESP,GK,Roma,it Serie A,24,1994,31.0,2,0.06,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roberto López,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.3,3,11.25,3,0,0,0,0,2,7.50,2,0,0,0,0,0,Matches
Unai López,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,47,2.37,25,21,0,0,1,5,0.25,4,1,0,0,0,0,Matches
Iker Losada,es ESP,"MF,FW",Celta Vigo,es La Liga,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Albert Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Imran Louza,fr FRA,"MF,FW",Nantes,fr Ligue 1,20,1999,22.3,59,2.64,38,15,4,1,1,4,0.18,4,0,0,0,0,0,Matches
Matteo Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,5,0.58,5,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Eduard Löwen,de GER,"MF,FW",Augsburg,de Bundesliga,22,1997,7.5,16,2.15,6,8,0,0,2,2,0.27,1,1,0,0,0,0,Matches
Eduard Löwen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,1,0.29,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,17,1.00,16,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
Hirving Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.1,46,4.15,33,1,7,1,4,3,0.27,2,0,0,0,1,0,Matches
Pol Lozano,es ESP,"MF,FW",Espanyol,es La Liga,19,1999,1.9,1,0.52,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jan Luca Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jean Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,6,2.70,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabio Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,32.8,10,0.30,8,1,0,1,0,1,0.03,0,0,0,1,0,0,Matches
José Luis Gayà,es ESP,DF,Valencia,es La Liga,24,1995,22.1,21,0.95,19,0,1,0,1,3,0.14,3,0,0,0,0,0,Matches
José Luis Morales,es ESP,"FW,MF",Levante,es La Liga,32,1987,28.0,66,2.36,51,2,7,4,2,6,0.21,4,0,1,1,0,0,Matches
José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.2,16,0.59,15,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
José Luis Rodríguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,9,0.29,8,0,0,1,0,4,0.13,4,0,0,0,0,0,Matches
Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,41,1.41,34,1,3,0,3,2,0.07,2,0,0,0,0,0,Matches
Jordan Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,3.9,10,2.55,8,1,1,0,0,2,0.51,2,0,0,0,0,0,Matches
Romelu Lukaku,be BEL,FW,Inter,it Serie A,26,1993,31.1,95,3.05,79,0,8,7,1,12,0.39,9,0,1,2,0,0,Matches
Dodi Lukebakio,cd COD,"FW,MF",Hertha BSC,de Bundesliga,21,1997,22.6,66,2.92,44,5,11,3,3,11,0.49,3,2,4,2,0,0,Matches
Saša Lukić,rs SRB,MF,Torino,it Serie A,22,1996,18.7,34,1.82,26,1,4,0,3,1,0.05,1,0,0,0,0,0,Matches
Senad Lulić,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,42,2.40,33,2,3,4,0,4,0.23,4,0,0,0,0,0,Matches
John Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,44,1.61,36,1,0,5,2,6,0.22,5,0,0,1,0,0,Matches
Sebastiano Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,5,0.85,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arnaud Lusamba,fr FRA,"MF,FW",Nice,fr Ligue 1,22,1997,10.9,28,2.57,20,5,0,0,3,5,0.46,5,0,0,0,0,0,Matches
Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lyanco,br BRA,DF,Torino,it Serie A,22,1997,12.6,6,0.48,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,13.4,12,0.90,7,5,0,0,0,2,0.15,1,1,0,0,0,0,Matches
Yann M'Vila,fr FRA,"MF,DF",Saint-Étienne,fr Ligue 1,29,1990,21.6,18,0.83,18,0,0,0,0,2,0.09,2,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,eng Premier League,20,1998,3.9,11,2.81,4,3,2,2,0,0,0.00,0,0,0,0,0,0,Matches
Darwin Machís,ve VEN,"FW,MF",Granada,es La Liga,26,1993,23.7,82,3.47,47,18,7,5,5,9,0.38,6,0,0,3,0,0,Matches
Yvann Macon,GPE,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,1,0.95,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,168,5.76,76,53,16,7,16,12,0.41,7,4,1,0,0,0,Matches
Lisandro Magallán,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,5,0.38,4,1,0,0,0,2,0.15,2,0,0,0,0,0,Matches
Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,21,1.35,21,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Giangiacomo Magnani,it ITA,"DF,MF",Brescia,it Serie A,23,1995,1.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Giangiacomo Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,1,0.62,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,12,4.58,9,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,30,0.79,28,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Abdallahi Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,137,6.34,90,13,20,4,10,30,1.39,17,2,5,1,5,0,Matches
Thiago Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,1,1.87,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,19,3.20,13,4,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,35,1.39,30,0,2,3,0,8,0.32,7,0,0,1,0,0,Matches
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,3,0.11,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,20,1.30,17,1,1,0,1,2,0.13,2,0,0,0,0,0,Matches
Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,21,2.57,14,0,3,1,3,3,0.37,2,0,0,1,0,0,Matches
