player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,44,2.06,24,6,5,4,5,4,0.19,4,0,0,0,0,0,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,19,0.58,18,0,0,1,0,2,0.06,2,0,0,0,0,0,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,26,1.22,23,3,0,0,0,3,0.14,3,0,0,0,0,0,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0.83,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1.05,2,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,13,1.59,13,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,3,0.30,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,151,4.28,91,50,3,5,1,24,0.68,14,7,0,2,0,1,Matches
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,39,2.25,30,0,4,3,2,2,0.12,2,0,0,0,0,0,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,4,0.14,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Allan,br BRA,MF,Napoli,it Serie A,28,1991,13.9,40,2.87,36,0,4,0,0,3,0.22,3,0,0,0,0,0,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,53,2.58,39,1,9,2,2,12,0.58,5,0,5,2,0,0,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,77,2.29,58,0,7,5,7,2,0.06,2,0,0,0,0,0,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,47,2.96,36,5,1,2,3,6,0.38,4,0,0,0,2,0,Matches
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,17,1.11,12,4,0,0,1,3,0.20,2,1,0,0,0,0,Matches
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,11,0.86,10,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,18,0.58,17,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,28.2,13,0.46,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,30,2.27,22,0,5,2,1,1,0.08,0,0,0,0,1,0,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1,0.12,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0.23,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,26,1.38,18,0,3,2,3,2,0.11,2,0,0,0,0,0,Matches
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,1,1.36,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,25,1.04,21,1,1,1,1,2,0.08,2,0,0,0,0,0,Matches
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,23,3.78,17,0,4,1,1,0,0.00,0,0,0,0,0,0,Matches
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,11,0.61,10,0,0,1,0,1,0.06,1,0,0,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,89,4.31,57,22,6,2,2,9,0.44,8,0,0,0,1,0,Matches
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,17,3.06,11,0,4,1,1,0,0.00,0,0,0,0,0,0,Matches
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,30.5,69,2.26,60,0,5,0,4,5,0.16,4,0,0,0,1,0,Matches
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,12,0.71,12,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,2,1.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,57,3.43,44,2,5,3,3,8,0.48,7,0,1,0,0,0,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,47,1.58,35,0,4,5,2,9,0.30,2,0,2,4,0,1,Matches
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,1,1.23,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,39,1.71,34,0,3,1,1,4,0.18,4,0,0,0,0,0,Matches
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,3.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,77,2.69,54,5,4,9,5,6,0.21,5,0,0,0,1,0,Matches
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,11,0.96,10,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,18,2.05,14,0,1,0,3,2,0.23,1,0,0,0,1,0,Matches
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,50,1.91,35,10,0,3,2,5,0.19,4,0,0,1,0,0,Matches
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,39,3.21,24,10,4,1,0,5,0.41,3,1,1,0,0,0,Matches
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,14,2.98,13,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.3,20,1.94,16,0,3,1,0,1,0.10,1,0,0,0,0,0,Matches
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,18.3,52,2.84,39,4,5,2,2,8,0.44,6,0,2,0,0,0,Matches
Janis Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,,,,,,,,,,,,,,,,Matches
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,58,2.95,31,1,15,5,6,7,0.36,2,0,2,2,1,0,Matches
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,17,1.49,16,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1,1.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,79,2.88,53,8,9,2,7,5,0.18,3,1,1,0,0,0,Matches
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,2,0.95,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,67,3.08,45,1,8,6,7,10,0.46,9,0,0,1,0,0,Matches
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,1,1.41,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,17,0.95,13,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,37,1.09,19,7,2,4,5,4,0.12,3,1,0,0,0,0,Matches
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,2,2.25,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
