player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_minutes,header_playing_minutes_per_game,header_playing_minutes_pct,header_playing_minutes_90s,header_playing_games_starts,header_starts_minutes_per_start,header_starts_games_subs,header_subs_minutes_per_sub,header_subs_unused_subs,header_subs_points_per_match,header_team_success_on_goals_for,header_team_success_on_goals_against,header_team_success_plus_minus,header_team_success_plus_minus_per90,header_team_success_plus_minus_wowy,header_team_success_on_xg_for,header_xg_team_success_on_xg_against,header_xg_team_success_xg_plus_minus,header_xg_team_success_xg_plus_minus_per90,header_xg_team_success_xg_plus_minus_wowy,header_xg_team_success_matches
Aaron Herzog,de GER,MF,M'gladbach,de Bundesliga,21,1998,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Son Heung-min,kr KOR,"FW,MF",Tottenham,eng Premier League,27,1992,30,"2,476",83,72.4,27.5,28,85,2,45,0,1.67,47,31,+16,+0.58,+0.77,35.0,38.4,-3.4,-0.12,+0.18,Matches
Gonzalo Higuaín,ar ARG,FW,Juventus,it Serie A,31,1987,30,"1,701",57,52.5,18.9,18,79,12,23,2,2.27,40,20,+20,+1.06,+0.06,35.5,22.0,+13.6,+0.72,-0.07,Matches
Vitorino Hilton,br BRA,DF,Montpellier,fr Ligue 1,41,1977,28,"2,510",90,99.6,27.9,28,90,0,,0,1.43,35,33,+2,+0.07,+9.07,32.6,34.7,-2.1,-0.08,+1.69,Matches
Martin Hinteregger,at AUT,DF,Eint Frankfurt,de Bundesliga,26,1992,31,"2,721",88,88.9,30.2,30,90,1,22,2,1.35,51,54,-3,-0.10,-0.63,46.4,45.5,+0.9,+0.03,-0.43,Matches
George Hirst,eng ENG,FW,Leicester City,eng Premier League,20,1999,2,11,6,0.3,0.1,0,,2,6,1,0.00,0,1,-1,-8.18,-8.89,0.2,0.8,-0.6,-4.90,-5.32,Matches
Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,31,1987,4,290,73,9.5,3.2,3,90,1,20,27,2.50,8,1,+7,+2.17,+1.00,5.4,5.0,+0.4,+0.11,-0.46,Matches
Ki-Jana Hoever,nl NED,DF,Liverpool,eng Premier League,17,2002,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
André Hoffmann,de GER,DF,Düsseldorf,de Bundesliga,26,1993,29,"2,428",84,79.3,27.0,27,87,2,43,3,1.00,30,51,-21,-0.78,+0.65,27.0,44.1,-17.1,-0.64,+0.06,Matches
Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,29,1990,32,"2,783",87,90.9,30.9,31,89,1,35,0,1.38,43,42,+1,+0.03,+0.03,39.3,55.5,-16.2,-0.52,+0.50,Matches
Jonas Hofmann,de GER,"MF,FW",M'gladbach,de Bundesliga,27,1992,24,"1,633",68,53.4,18.1,18,85,6,18,3,2.00,36,24,+12,+0.66,-0.22,37.4,24.4,+13.0,+0.72,-0.02,Matches
Jonas Hofmann,de GER,MF,Schalke 04,de Bundesliga,22,1997,1,2,2,0.1,0.0,0,,1,2,3,1.00,0,0,0,0.00,+0.59,0.1,0.0,+0.1,+3.08,+3.51,Matches
Marco Höger,de GER,MF,Köln,de Bundesliga,29,1989,15,676,45,22.1,7.5,6,68,9,30,16,0.60,6,24,-18,-2.40,-2.40,6.2,15.5,-9.3,-1.24,-1.40,Matches
Rob Holding,eng ENG,DF,Arsenal,eng Premier League,23,1995,8,581,73,17.0,6.5,6,88,2,28,10,1.63,11,9,+2,+0.31,+0.12,9.2,10.6,-1.5,-0.23,-0.05,Matches
José Holebas,gr GRE,DF,Watford,eng Premier League,35,1984,14,"1,025",73,30.0,11.4,11,89,3,17,7,0.71,8,27,-19,-1.67,-1.33,12.1,20.9,-8.9,-0.78,-0.64,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,de Bundesliga,25,1994,34,"2,485",73,81.2,27.6,28,83,6,25,0,1.41,39,40,-1,-0.04,-0.35,35.8,53.3,-17.5,-0.63,-0.35,Matches
Mason Holgate,eng ENG,DF,Everton,eng Premier League,22,1996,27,"2,054",76,60.1,22.8,24,85,3,8,7,1.52,30,34,-4,-0.18,+0.35,32.7,28.8,+3.8,+0.17,+0.39,Matches
Nathan Holland,eng ENG,MF,West Ham,eng Premier League,21,1998,2,33,17,1.0,0.4,0,,2,17,0,0.00,0,1,-1,-2.73,-2.41,0.2,0.7,-0.5,-1.36,-0.92,Matches
Gerrit Holtmann,de GER,"MF,DF",Paderborn 07,de Bundesliga,24,1995,24,"1,065",44,34.8,11.8,13,61,11,24,7,0.63,11,22,-11,-0.93,+0.24,13.6,22.7,-9.1,-0.77,+0.07,Matches
Josué Homawoo,fr FRA,DF,Nantes,fr Ligue 1,21,1997,1,45,45,1.8,0.5,0,,1,45,4,1.00,1,1,0,0.00,+0.11,0.2,0.8,-0.6,-1.27,-1.07,Matches
Franck Honorat,fr FRA,"FW,DF",Saint-Étienne,fr Ligue 1,22,1996,12,849,71,33.7,9.4,9,83,3,35,2,0.92,14,15,-1,-0.11,+0.70,12.6,9.3,+3.3,+0.35,+0.86,Matches
Luca Horn,de GER,DF,Wolfsburg,de Bundesliga,20,1998,1,6,6,0.2,0.1,0,,1,6,5,0.00,0,0,0,0.00,-0.06,0.0,0.0,0.0,0.00,-0.24,Matches
Timo Horn,de GER,GK,Köln,de Bundesliga,26,1993,34,"3,060",90,100.0,34.0,34,90,0,,0,1.06,51,69,-18,-0.53,,48.1,53.2,-5.1,-0.15,,Matches
Krisztofer Horváth,hu HUN,DF,SPAL,it Serie A,17,2002,1,7,7,0.2,0.1,0,,1,7,0,1.00,0,0,0,0.00,+1.25,0.0,0.0,0.0,-0.35,+0.33,Matches
Conor Hourihane,ie IRL,MF,Aston Villa,eng Premier League,28,1991,27,"1,534",57,44.9,17.0,18,75,9,20,10,1.04,20,29,-9,-0.53,+0.28,20.4,27.3,-6.9,-0.40,+0.52,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,29,1989,34,"3,060",90,100.0,34.0,34,90,0,,0,1.85,61,44,+17,+0.50,,56.8,45.7,+11.1,+0.33,,Matches
José Hualde,es ESP,MF,Osasuna,es La Liga,21,1998,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Benjamin Hübner,de GER,DF,Hoffenheim,de Bundesliga,30,1989,25,"2,070",83,67.6,23.0,25,83,0,,2,1.76,42,32,+10,+0.43,+1.34,38.2,36.4,+1.8,+0.08,+0.28,Matches
Florian Hübner,de GER,DF,Union Berlin,de Bundesliga,28,1991,11,850,77,27.8,9.4,9,85,2,43,8,1.27,9,14,-5,-0.53,-0.04,12.6,12.3,+0.3,+0.03,+0.61,Matches
Callum Hudson-Odoi,eng ENG,FW,Chelsea,eng Premier League,18,2000,22,863,39,25.2,9.6,7,85,15,18,3,1.77,17,14,+3,+0.31,-0.11,18.6,9.1,+9.6,+1.00,+0.27,Matches
Will Hughes,eng ENG,"MF,FW",Watford,eng Premier League,24,1995,30,"2,252",75,65.8,25.0,27,79,3,37,3,0.83,23,46,-23,-0.92,-0.53,28.7,40.6,-11.9,-0.47,-0.41,Matches
Mats Hummels,de GER,DF,Dortmund,de Bundesliga,30,1988,31,"2,581",83,84.3,28.7,31,83,0,,0,2.00,74,36,+38,+1.33,+0.39,49.6,36.4,+13.2,+0.46,-0.40,Matches
Uwe Hünemeier,de GER,DF,Paderborn 07,de Bundesliga,33,1986,16,"1,209",76,39.5,13.4,13,88,3,22,12,0.69,14,30,-16,-1.19,-0.17,15.1,28.3,-13.2,-0.99,-0.28,Matches
Adrien Hunou,fr FRA,"FW,MF",Rennes,fr Ligue 1,25,1994,23,"1,210",53,48.0,13.4,13,80,10,17,1,1.74,21,12,+9,+0.67,+0.33,20.9,14.8,+6.1,+0.45,+0.37,Matches
Jonas Hupe,de GER,GK,Dortmund,de Bundesliga,19,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Jannik Huth,de GER,GK,Paderborn 07,de Bundesliga,25,1994,6,540,90,17.6,6.0,6,90,0,,28,0.17,8,17,-9,-1.50,-0.50,6.7,12.8,-6.1,-1.02,-0.25,Matches
Elseid Hysaj,al ALB,DF,Napoli,it Serie A,25,1994,19,"1,398",74,43.1,15.5,16,83,3,22,13,2.11,24,15,+9,+0.58,+0.48,21.7,13.7,+8.0,+0.51,-0.13,Matches
Suk Hyun-jun,kr KOR,"FW,MF",Reims,fr Ligue 1,28,1991,13,262,20,10.4,2.9,1,71,12,16,5,1.31,3,2,+1,+0.34,+0.18,2.4,3.0,-0.6,-0.20,-0.31,Matches
Pierre Højbjerg,dk DEN,MF,Southampton,eng Premier League,23,1995,33,"2,752",83,80.5,30.6,30,90,3,18,1,1.27,39,51,-12,-0.39,-0.80,43.7,43.3,+0.4,+0.01,-0.04,Matches
Simone Iacoponi,it ITA,DF,Parma,it Serie A,32,1987,35,"3,045",87,94.0,33.8,34,89,1,16,0,1.31,48,49,-1,-0.03,-0.03,39.2,55.5,-16.3,-0.48,+0.31,Matches
Iago,br BRA,"DF,MF",Augsburg,de Bundesliga,22,1997,10,674,67,22.0,7.5,7,90,3,15,8,0.80,9,15,-6,-0.80,-0.35,6.8,14.5,-7.7,-1.02,-0.89,Matches
Robert Ibáñez,es ESP,"MF,FW",Osasuna,es La Liga,26,1993,14,537,38,15.7,6.0,5,72,9,20,5,1.14,7,9,-2,-0.34,-0.15,7.1,6.3,+0.8,+0.13,+0.23,Matches
Roger Ibanez,br BRA,DF,Atalanta,it Serie A,20,1998,0,,,,,0,,0,,17,,,,,,,,,,,,Matches
Roger Ibanez,br BRA,DF,Roma,it Serie A,20,1998,7,540,77,16.7,6.0,6,87,1,18,5,1.86,12,7,+5,+0.83,+0.23,13.2,7.2,+6.0,+1.00,+0.47,Matches
Jordon Ibe,eng ENG,DF,Bournemouth,eng Premier League,23,1995,2,50,25,1.5,0.6,0,,2,25,6,0.00,0,1,-1,-1.80,-1.16,0.5,0.8,-0.3,-0.53,-0.17,Matches
Vedad Ibišević,ba BIH,FW,Hertha BSC,de Bundesliga,34,1984,25,"1,257",50,41.1,14.0,15,74,10,15,9,1.28,24,22,+2,+0.14,+0.79,17.8,22.3,-4.5,-0.32,+0.02,Matches
Vicente Iborra,es ESP,MF,Villarreal,es La Liga,31,1988,34,"2,648",78,77.4,29.4,33,79,1,28,0,1.59,47,39,+8,+0.27,-0.43,43.9,34.3,+9.6,+0.33,+0.09,Matches
Didier Ibrahim Ndong,ga GAB,MF,Dijon,fr Ligue 1,25,1994,27,"2,386",88,94.7,26.5,27,88,0,,0,1.07,25,35,-10,-0.38,-0.38,28.3,41.8,-13.6,-0.51,-0.44,Matches
Zlatan Ibrahimović,se SWE,FW,Milan,it Serie A,37,1981,16,"1,194",75,36.9,13.3,14,81,2,31,0,2.00,29,17,+12,+0.90,+0.95,23.6,17.7,+5.9,+0.45,+0.23,Matches
Mauro Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,26,1993,20,"1,267",63,52.1,14.1,14,83,6,17,1,2.65,47,16,+31,+2.20,+0.65,41.3,13.8,+27.4,+1.95,+0.27,Matches
Salvador Ichazo,uy URU,GK,Genoa,it Serie A,27,1992,0,,,,,0,,0,,12,,,,,,,,,,,,Matches
Adam Idah,ie IRL,"FW,MF",Norwich City,eng Premier League,18,2001,12,228,19,6.7,2.5,1,64,11,15,5,0.08,0,9,-9,-3.55,-2.42,1.8,5.1,-3.3,-1.31,-0.75,Matches
Hubert Idasiak,pl POL,GK,Napoli,it Serie A,17,2002,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Odion Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,30,1989,11,101,9,3.0,1.1,0,,11,9,2,2.45,3,0,+3,+2.67,+1.94,5.0,1.1,+3.9,+3.48,+2.99,Matches
Borja Iglesias,es ESP,FW,Betis,es La Liga,26,1993,35,"1,922",55,56.2,21.4,21,80,14,17,1,1.06,27,30,-3,-0.14,+0.40,25.6,28.0,-2.5,-0.12,-0.13,Matches
Igor,br BRA,DF,SPAL,it Serie A,21,1998,17,"1,337",79,41.3,14.9,15,85,2,30,3,0.65,11,24,-13,-0.88,+0.64,17.5,25.3,-7.7,-0.52,+0.27,Matches
Igor,br BRA,DF,Fiorentina,it Serie A,21,1998,8,521,65,16.1,5.8,5,86,3,30,7,0.75,6,9,-3,-0.52,-0.52,7.2,8.7,-1.5,-0.26,-0.39,Matches
Kelechi Iheanacho,ng NGA,FW,Leicester City,eng Premier League,22,1996,20,960,48,28.1,10.7,12,61,8,28,9,1.30,18,9,+9,+0.84,+0.22,19.7,12.4,+7.3,+0.68,+0.38,Matches
Luc Ihorst,de GER,FW,Werder Bremen,de Bundesliga,19,2000,1,11,11,0.4,0.1,0,,1,11,1,0.00,0,1,-1,-8.18,-7.41,0.3,0.4,-0.1,-1.17,-0.95,Matches
Jonathan Ikone,fr FRA,"MF,FW",Lille,fr Ligue 1,21,1998,28,"2,057",73,81.6,22.9,26,76,2,36,0,1.75,28,17,+11,+0.48,+1.06,31.1,22.0,+9.1,+0.40,+0.34,Matches
Yun Il-lok,kr KOR,"MF,FW",Montpellier,fr Ligue 1,27,1992,5,121,24,4.8,1.3,1,78,4,11,3,0.80,0,2,-2,-1.49,-1.60,1.9,3.1,-1.2,-0.91,-0.87,Matches
Josip Iličić,si SVN,FW,Atalanta,it Serie A,31,1988,26,"1,663",64,51.3,18.5,21,74,5,23,1,2.19,51,24,+27,+1.46,+0.09,44.0,19.3,+24.7,+1.34,+0.28,Matches
Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,29,1990,3,216,72,6.3,2.4,3,72,0,,1,1.33,2,3,-1,-0.42,-0.67,2.6,3.5,-0.8,-0.35,-0.57,Matches
Stefan Ilsanker,at AUT,DF,RB Leipzig,de Bundesliga,30,1989,6,418,70,13.7,4.6,5,83,1,5,12,3.00,15,5,+10,+2.15,+0.99,12.8,4.3,+8.5,+1.84,+0.97,Matches
Stefan Ilsanker,at AUT,"DF,MF",Eint Frankfurt,de Bundesliga,30,1989,12,838,70,27.4,9.3,9,86,3,22,1,1.25,16,24,-8,-0.86,-1.14,16.0,14.3,+1.7,+0.18,+0.14,Matches
Giannelli Imbula,cd COD,MF,Lecce,it Serie A,26,1992,3,130,43,4.0,1.4,1,85,2,23,6,1.00,1,3,-2,-1.38,-0.49,0.7,5.6,-5.0,-3.46,-2.73,Matches
Ciro Immobile,it ITA,FW,Lazio,it Serie A,29,1990,35,"2,990",85,92.3,33.2,34,87,1,38,0,2.14,73,35,+38,+1.14,+1.50,59.4,45.0,+14.4,+0.43,-0.14,Matches
Iñaki,es ESP,GK,Barcelona,es La Liga,20,1999,0,,,,,0,,0,,16,,,,,,,,,,,,Matches
Edmilson Indjai,gw GNB,FW,Saint-Étienne,fr Ligue 1,19,2000,4,49,12,1.9,0.5,0,,4,11,1,0.25,0,1,-1,-1.84,-1.29,0.7,0.2,+0.5,+1.00,+1.25,Matches
Roberto Inglese,it ITA,FW,Parma,it Serie A,27,1991,16,737,46,22.7,8.2,8,66,8,26,0,1.38,10,12,-2,-0.24,-0.28,9.5,9.6,-0.1,-0.02,+0.63,Matches
Danny Ings,eng ENG,FW,Southampton,eng Premier League,27,1992,38,"2,804",74,82.0,31.2,32,83,6,23,0,1.37,42,43,-1,-0.03,+1.14,44.5,41.4,+3.1,+0.10,+0.45,Matches
Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,de Bundesliga,23,1996,28,"1,716",61,56.1,19.1,20,77,8,22,3,1.25,23,28,-5,-0.26,+0.54,21.3,24.7,-3.4,-0.18,+0.53,Matches
Garissone Innocent,fr FRA,GK,Paris S-G,fr Ligue 1,19,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Lorenzo Insigne,it ITA,"FW,MF",Napoli,it Serie A,28,1991,35,"2,637",75,81.4,29.3,32,80,3,25,1,1.60,47,41,+6,+0.20,-0.54,48.4,34.2,+14.2,+0.49,-0.54,Matches
Takashi Inui,jp JPN,"MF,FW",Eibar,es La Liga,31,1988,29,"1,960",68,57.3,21.8,23,79,6,22,7,1.17,23,31,-8,-0.37,+0.19,24.5,31.0,-6.5,-0.30,-0.12,Matches
Artur Ioniță,md MDA,MF,Cagliari,it Serie A,28,1990,32,"1,729",54,53.4,19.2,19,80,13,16,3,1.16,18,28,-10,-0.52,-0.94,18.9,31.6,-12.7,-0.66,-0.59,Matches
Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,19,1999,37,"1,507",41,44.1,16.7,14,71,23,22,1,1.51,25,21,+4,+0.24,+0.05,22.3,20.5,+1.8,+0.10,-0.14,Matches
Isco,es ESP,"FW,MF",Real Madrid,es La Liga,27,1992,23,"1,181",51,34.5,13.1,15,71,8,15,7,2.39,15,8,+7,+0.53,-0.99,18.6,11.4,+7.2,+0.55,-0.58,Matches
Nicolas Isimat-Mirin,fr FRA,DF,Toulouse,fr Ligue 1,27,1991,14,"1,260",90,50.0,14.0,14,90,0,,6,0.29,13,34,-21,-1.50,-0.43,15.0,26.0,-11.0,-0.78,-0.66,Matches
Jakub Iskra,pl POL,DF,SPAL,it Serie A,16,2002,1,33,33,1.0,0.4,0,,1,33,0,1.00,1,0,+1,+2.73,+4.02,0.2,0.6,-0.4,-0.97,-0.29,Matches
Gian-Luca Itter,de GER,"DF,MF",Freiburg,de Bundesliga,20,1999,3,35,12,1.1,0.4,0,,3,12,14,1.33,0,0,0,0.00,-0.03,0.5,0.5,0.0,-0.02,+0.55,Matches
Ander Iturraspe,es ESP,MF,Espanyol,es La Liga,30,1989,8,242,30,7.1,2.7,3,62,5,11,7,1.13,4,4,0,0.00,+0.88,4.2,3.3,+1.0,+0.36,+0.72,Matches
Alex Iwobi,ng NGA,"MF,FW",Everton,eng Premier League,23,1996,25,"1,596",64,46.7,17.7,19,72,6,37,5,1.08,23,30,-7,-0.39,-0.15,20.8,24.8,-4.0,-0.22,-0.45,Matches
Armando Izzo,it ITA,DF,Torino,it Serie A,27,1992,30,"2,611",87,80.6,29.0,29,89,1,30,1,1.17,37,50,-13,-0.45,+0.70,34.8,48.2,-13.5,-0.46,+0.30,Matches
Jacobo,es ESP,DF,Celta Vigo,es La Liga,22,1997,2,83,42,2.4,0.9,1,80,1,3,9,1.00,1,2,-1,-1.08,-0.79,1.8,2.0,-0.1,-0.15,-0.02,Matches
Phil Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,36,1982,6,244,41,7.1,2.7,2,90,4,16,30,2.17,5,6,-1,-0.37,-0.40,3.1,4.8,-1.7,-0.62,-0.52,Matches
Filip Jagiełło,pl POL,MF,Genoa,it Serie A,21,1997,9,411,46,12.7,4.6,4,75,5,22,24,1.44,4,11,-7,-1.53,-0.99,4.3,7.3,-3.0,-0.66,-0.42,Matches
Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,eng Premier League,25,1993,10,311,31,9.1,3.5,3,68,7,15,9,1.00,4,4,0,0.00,+0.43,3.4,4.2,-0.8,-0.24,+0.10,Matches
Mato Jajalo,ba BIH,MF,Udinese,it Serie A,31,1988,26,"1,649",63,50.9,18.3,19,79,7,20,2,1.00,14,27,-13,-0.71,-0.65,19.1,27.8,-8.8,-0.48,-0.33,Matches
Frederik Jäkel,de GER,DF,RB Leipzig,de Bundesliga,18,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Ismail Jakobs,de GER,"FW,DF",Köln,de Bundesliga,19,1999,20,"1,672",84,54.6,18.6,20,84,0,,0,1.40,35,38,-3,-0.16,+0.81,28.2,29.4,-1.2,-0.06,+0.19,Matches
Christophe Jallet,fr FRA,DF,Amiens,fr Ligue 1,35,1983,12,855,71,33.9,9.5,10,83,2,14,10,0.75,9,15,-6,-0.63,+0.07,7.7,11.6,-3.8,-0.40,-0.09,Matches
Daniel James,wal WAL,FW,Manchester Utd,eng Premier League,21,1997,33,"2,287",69,66.9,25.4,26,84,7,15,4,1.67,33,29,+4,+0.16,-1.91,36.7,25.0,+11.7,+0.46,-0.36,Matches
Matty James,eng ENG,MF,Leicester City,eng Premier League,28,1991,1,6,6,0.2,0.1,0,,1,6,5,0.00,0,0,0,0.00,-0.69,0.0,0.0,0.0,-0.73,-1.14,Matches
Reece James,eng ENG,DF,Chelsea,eng Premier League,19,1999,24,"1,515",63,44.3,16.8,16,87,8,15,5,1.88,26,23,+3,+0.18,-0.39,29.1,15.5,+13.6,+0.81,+0.02,Matches
Jandrei,br BRA,GK,Genoa,it Serie A,26,1993,0,,,,,0,,0,,19,,,,,,,,,,,,Matches
Alexandre Jankewitz,ch SUI,MF,Southampton,eng Premier League,17,2001,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Marko Janković,me MNE,"MF,DF",SPAL,it Serie A,24,1995,6,115,19,3.5,1.3,1,70,5,9,10,0.00,0,3,-3,-2.35,-1.14,1.1,2.5,-1.5,-1.14,-0.48,Matches
Jakub Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,28,"1,982",71,61.2,22.0,24,77,4,36,5,1.07,34,36,-2,-0.09,+0.77,30.2,30.2,0.0,0.00,+0.21,Matches
Daryl Janmaat,nl NED,DF,Watford,eng Premier League,30,1989,8,607,76,17.7,6.7,7,85,1,13,4,1.00,5,5,0,0.00,+0.90,7.9,7.5,+0.4,+0.06,+0.48,Matches
Laurent Jans,lu LUX,DF,Paderborn 07,de Bundesliga,26,1992,22,"1,571",71,51.3,17.5,19,80,3,19,12,0.68,19,33,-14,-0.80,+0.59,22.1,31.9,-9.8,-0.56,+0.52,Matches
Tony Jantschke,de GER,DF,M'gladbach,de Bundesliga,29,1990,17,"1,012",60,33.1,11.2,11,78,6,25,11,2.06,21,11,+10,+0.89,+0.19,26.8,14.6,+12.2,+1.08,+0.53,Matches
Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,es La Liga,24,1995,24,"1,167",49,34.1,13.0,13,73,11,20,8,1.46,16,15,+1,+0.08,-0.20,14.9,12.4,+2.5,+0.19,+0.02,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,29,"2,547",88,83.2,28.3,29,88,0,,2,1.31,39,46,-7,-0.25,+0.45,34.0,43.1,-9.1,-0.32,+0.08,Matches
Jason,es ESP,MF,Getafe,es La Liga,25,1994,20,"1,175",59,34.4,13.1,14,78,6,14,9,1.30,18,15,+3,+0.23,+0.11,13.9,12.1,+1.8,+0.14,+0.25,Matches
Dennis Jastrzembski,de GER,"DF,MF",Paderborn 07,de Bundesliga,19,2000,6,177,30,5.8,2.0,1,62,5,23,8,0.50,2,5,-3,-1.53,-0.46,1.9,4.2,-2.4,-1.20,-0.40,Matches
Javi,es ESP,DF,Real Madrid,es La Liga,21,1998,0,,,,,0,,0,,8,,,,,,,,,,,,Matches
Corentin Jean,fr FRA,DF,Toulouse,fr Ligue 1,24,1995,1,7,7,0.3,0.1,0,,1,6,1,0.00,0,0,0,0.00,+1.29,0.1,0.8,-0.7,-8.84,-8.41,Matches
Benjamin Jeannot,fr FRA,MF,Dijon,fr Ligue 1,27,1992,2,167,84,6.6,1.9,2,84,0,,0,0.00,1,3,-2,-1.08,-0.77,3.1,3.0,+0.1,+0.08,+0.61,Matches
Tin Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,1995,31,"2,638",85,86.2,29.3,30,87,1,21,1,1.13,42,48,-6,-0.20,+2.35,39.1,44.0,-4.8,-0.16,+1.22,Matches
Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,23,1995,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Jemerson,br BRA,"DF,MF",Monaco,fr Ligue 1,26,1992,13,"1,056",81,41.9,11.7,13,81,0,,2,1.77,20,15,+5,+0.43,+0.73,22.1,14.9,+7.2,+0.62,+0.55,Matches
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,de Bundesliga,21,1997,10,457,46,14.9,5.1,5,76,5,15,6,1.10,13,13,0,0.00,+0.62,10.0,10.4,-0.4,-0.07,+0.31,Matches
Lukas Jensen,dk DEN,GK,Burnley,eng Premier League,,,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Jesé,es ESP,FW,Paris S-G,fr Ligue 1,26,1993,1,1,1,0.0,0.0,0,,1,0,0,3.00,0,0,0,0.00,-1.89,0.0,0.0,0.0,0.00,-1.82,Matches
Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,22,1997,34,"2,030",60,59.4,22.6,21,81,13,26,1,2.12,63,14,+49,+2.17,+1.01,58.1,17.1,+40.9,+1.81,+0.70,Matches
Juan Jesus,br BRA,DF,Roma,it Serie A,28,1991,3,104,35,3.2,1.2,1,65,2,20,20,1.33,4,4,0,0.00,-0.66,2.9,2.8,+0.1,+0.07,-0.56,Matches
Javier Jiménez,es ESP,MF,Valencia,es La Liga,43,1976,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Jorge Jiménez,es ESP,FW,Betis,es La Liga,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,28,1991,38,"3,236",85,94.6,36.0,37,87,1,19,0,1.55,48,36,+12,+0.33,+0.82,44.6,30.0,+14.6,+0.41,+1.28,Matches
Pere Joan,es ESP,GK,Mallorca,es La Liga,17,2002,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Joaquín,es ESP,"MF,FW",Betis,es La Liga,38,1981,34,"2,060",61,60.2,22.9,25,74,9,23,1,1.09,32,33,-1,-0.04,+0.68,30.9,26.9,+3.9,+0.17,+0.57,Matches
Bogdan Jocic,rs SRB,MF,Hellas Verona,it Serie A,18,2001,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Joelinton,br BRA,FW,Newcastle Utd,eng Premier League,22,1996,38,"2,683",71,78.5,29.8,32,79,6,25,0,1.16,23,46,-23,-0.77,-1.14,24.4,45.1,-20.7,-0.69,-0.20,Matches
Jakob Johansson,se SWE,MF,Rennes,fr Ligue 1,29,1990,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Ryan John Giles,eng ENG,MF,Wolves,eng Premier League,19,2000,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Tyreece John-Jules,eng ENG,FW,Arsenal,eng Premier League,18,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Ben Johnson,eng ENG,DF,West Ham,eng Premier League,19,2000,3,270,90,7.9,3.0,3,90,0,,6,1.67,5,3,+2,+0.67,+1.10,3.7,3.4,+0.3,+0.09,+0.59,Matches
Darnell Johnson,eng ENG,DF,Leicester City,eng Premier League,20,1998,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Fabian Johnson,us USA,"MF,DF",M'gladbach,de Bundesliga,31,1987,6,271,45,8.9,3.0,3,80,3,11,6,1.83,5,4,+1,+0.33,-0.47,4.8,4.0,+0.8,+0.25,-0.52,Matches
Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,18,2001,6,126,21,3.7,1.4,1,68,5,12,10,2.67,4,2,+2,+1.43,+0.06,2.7,0.4,+2.3,+1.66,+0.92,Matches
Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1992,2,135,68,3.9,1.5,2,68,0,,10,0.50,0,3,-3,-2.00,-2.90,2.0,1.6,+0.4,+0.29,-0.31,Matches
Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,22,1997,29,"2,115",73,61.8,23.5,24,83,5,23,1,2.10,52,27,+25,+1.06,-0.52,39.5,23.2,+16.3,+0.69,-0.26,Matches
Luuk de Jong,nl NED,FW,Sevilla,es La Liga,28,1990,35,"2,059",59,60.2,22.9,24,78,11,17,3,1.94,36,18,+18,+0.79,+0.65,30.2,18.4,+11.8,+0.52,+0.32,Matches
