player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_touches_touches,header_touches_touches_def_pen_area,header_touches_touches_def_3rd,header_touches_touches_mid_3rd,header_touches_touches_att_3rd,header_touches_touches_att_pen_area,header_touches_touches_live_ball,header_dribbles_dribbles_completed,header_dribbles_dribbles,header_dribbles_dribbles_completed_pct,header_dribbles_players_dribbled_past,header_dribbles_nutmegs,header_carries_carries,header_carries_carry_distance,header_carries_carry_progressive_distance,header_receiving_pass_targets,header_receiving_passes_received,header_receiving_passes_received_pct,miscontrols,dispossessed,matches
Luuk de Jong,nl NED,FW,Sevilla,es La Liga,28,1990,22.9,786,23,71,424,319,121,748,11,17,64.7,11,1,376,1759,761,1023,570,55.7,50,33,Matches
Jony,es ESP,DF,Lazio,it Serie A,28,1991,12.5,733,24,162,261,347,18,598,9,19,47.4,11,1,473,2489,1565,505,456,90.3,24,11,Matches
Joan Jordán,es ESP,MF,Sevilla,es La Liga,25,1994,25.0,1999,39,352,1170,584,44,1874,43,54,79.6,44,0,1420,6456,2924,1549,1440,93.0,35,20,Matches
Bruno Jordão,pt POR,FW,Wolves,eng Premier League,20,1998,0.1,6,0,0,4,2,0,6,0,0,,0,0,5,40,28,3,3,100.0,0,0,Matches
Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,26.4,2472,81,589,1623,408,15,2418,17,24,70.8,19,0,1801,7674,3786,1862,1791,96.2,8,22,Matches
Jesse Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,964,858,961,3,0,0,552,0,0,,0,0,284,1886,1022,203,202,99.5,0,0,Matches
Willian José,br BRA,FW,Real Sociedad,es La Liga,27,1991,22.3,764,18,48,410,340,100,719,9,19,47.4,10,0,507,2339,810,946,580,61.3,39,22,Matches
Joselu,es ESP,FW,Alavés,es La Liga,29,1990,30.9,1435,46,130,810,526,135,1411,12,25,48.0,12,0,607,2232,802,1636,1079,66.0,98,57,Matches
Jota,es ESP,"FW,MF",Aston Villa,eng Premier League,28,1991,3.7,145,8,24,69,70,11,140,8,17,47.1,12,1,118,995,551,131,98,74.8,5,11,Matches
Diogo Jota,pt POR,"FW,MF",Wolves,eng Premier League,22,1996,25.4,1248,10,129,626,629,155,1209,76,132,57.6,85,12,1028,8170,5851,1292,943,73.0,66,72,Matches
Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,6.4,522,46,243,329,6,1,507,2,2,100.0,2,0,355,2173,1401,372,369,99.2,1,2,Matches
Dejan Joveljić,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,1.7,40,1,4,13,25,3,39,1,2,50.0,1,0,26,108,54,72,29,40.3,2,3,Matches
Stevan Jovetić,me MNE,"FW,MF",Monaco,fr Ligue 1,29,1989,5.3,278,3,27,137,140,31,267,15,24,62.5,15,0,204,1406,868,304,222,73.0,10,10,Matches
Luka Jović,rs SRB,FW,Real Madrid,es La Liga,21,1997,4.8,177,1,9,106,69,20,171,4,7,57.1,5,0,99,393,177,228,143,62.7,13,5,Matches
Juanmi,es ESP,"FW,MF",Betis,es La Liga,26,1993,2.9,84,1,7,43,40,11,82,1,2,50.0,1,0,59,305,152,87,60,69.0,7,4,Matches
David Juncà,es ESP,DF,Celta Vigo,es La Liga,25,1993,2.9,170,6,52,98,32,2,147,3,5,60.0,3,0,111,691,475,121,108,89.3,2,1,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,19,2000,16.1,951,11,113,448,472,58,871,24,33,72.7,24,0,684,4501,2670,832,693,83.3,23,41,Matches
Lago Junior,ci CIV,"MF,FW",Mallorca,es La Liga,28,1990,24.3,1075,40,170,473,517,114,1050,29,67,43.3,32,2,785,6339,3963,1047,773,73.8,61,59,Matches
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,19,2000,15.2,766,1,69,311,469,148,762,53,109,48.6,58,3,686,5890,4460,809,617,76.3,40,18,Matches
James Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,11.2,944,28,248,489,267,19,834,13,17,76.5,14,0,596,2895,1684,661,606,91.7,13,16,Matches
Musa Juwara,gm GAM,"FW,MF",Bologna,it Serie A,17,2001,0.7,50,2,5,27,26,4,48,2,3,66.7,2,0,38,398,239,39,36,92.3,1,1,Matches
Mathias Jørgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,5.5,282,49,182,106,4,1,270,0,0,,0,0,126,535,289,144,141,97.9,0,0,Matches
Ozan Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,19.7,1313,216,742,633,39,21,1292,17,23,73.9,18,0,839,5552,3083,823,808,98.2,10,9,Matches
Christian Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,25.0,947,197,574,387,27,18,936,7,8,87.5,8,0,458,2266,880,448,433,96.7,7,8,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,25,1994,16.3,960,9,131,501,415,50,921,55,98,56.1,60,1,804,5631,3615,882,704,79.8,40,40,Matches
Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,27,1992,27.5,1622,68,431,735,528,76,1423,7,17,41.2,7,0,808,3859,2210,1264,1049,83.0,19,21,Matches
Florian Kainz,at AUT,"FW,MF",Köln,de Bundesliga,26,1992,17.3,942,13,157,399,456,37,821,26,47,55.3,28,4,623,4237,2394,749,600,80.1,20,22,Matches
Gaël Kakuta,cd COD,"MF,FW",Amiens,fr Ligue 1,28,1991,22.2,1211,11,103,621,562,56,1140,49,85,57.6,55,5,883,5124,2664,1161,891,76.7,69,96,Matches
Lovre Kalinić,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,129,107,128,1,0,0,78,0,0,,0,0,52,314,206,39,38,97.4,0,0,Matches
Nikola Kalinić,hr CRO,FW,Roma,it Serie A,31,1988,5.3,166,1,4,63,103,35,158,1,2,50.0,1,0,102,498,200,226,135,59.7,13,5,Matches
Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,de Bundesliga,33,1985,1.6,75,2,10,31,36,7,74,1,4,25.0,1,0,53,313,156,71,49,69.0,7,3,Matches
Samuel Kalu,ng NGA,"FW,DF",Bordeaux,fr Ligue 1,21,1997,15.1,784,24,131,401,307,64,752,54,88,61.4,58,2,616,4329,2786,699,552,79.0,34,46,Matches
Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,de Bundesliga,22,1996,21.9,1052,6,99,520,509,88,956,37,56,66.1,38,0,712,4485,2509,1007,684,67.9,40,53,Matches
François Kamano,gn GUI,"DF,MF",Bordeaux,fr Ligue 1,23,1996,7.2,396,13,61,243,128,18,379,11,26,42.3,11,2,314,1905,1262,363,297,81.8,12,13,Matches
Boubacar Kamara,fr FRA,"DF,MF",Marseille,fr Ligue 1,19,1999,23.8,1547,120,682,884,94,19,1499,14,22,63.6,14,1,1031,5443,2899,1034,1004,97.1,5,13,Matches
Hassane Kamara,gm GAM,"DF,FW",Reims,fr Ligue 1,24,1994,19.0,1424,63,512,691,354,22,1269,33,51,64.7,35,1,917,6707,3946,946,847,89.5,26,23,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,584,10,117,374,141,7,566,8,12,66.7,9,1,447,2654,1109,467,443,94.9,6,8,Matches
Harry Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,923,39,85,467,434,132,886,28,59,47.5,34,3,607,3924,2018,1328,689,51.9,52,43,Matches
Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,29,0,1,9,22,7,27,1,1,100.0,1,0,19,93,54,46,23,50.0,5,3,Matches
Lee Kangin,kr KOR,"MF,FW",Valencia,es La Liga,18,2001,5.0,288,1,22,153,136,11,269,9,11,81.8,9,1,243,1648,779,266,236,88.7,8,15,Matches
N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,1399,50,289,785,418,38,1390,28,46,60.9,30,1,970,5312,2819,1045,915,87.6,27,32,Matches
Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,37,35,37,0,0,0,24,0,0,,0,0,16,90,46,10,10,100.0,0,0,Matches
Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,102,4,32,58,19,1,100,2,2,100.0,2,1,68,414,243,78,68,87.2,3,7,Matches
Kenan Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15.0,523,10,40,229,286,89,505,24,37,64.9,28,1,378,2501,1241,717,407,56.8,52,31,Matches
Yann Karamoh,fr FRA,"FW,MF",Parma,it Serie A,21,1998,6.1,233,4,29,104,111,19,231,14,24,58.3,14,2,176,1121,617,232,166,71.6,20,12,Matches
Mamoudou Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,0.1,8,0,0,7,3,0,8,0,1,0.0,0,0,4,18,3,5,5,100.0,0,0,Matches
Florian Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17.0,676,590,669,8,0,0,514,3,3,100.0,3,1,367,1938,1086,326,325,99.7,0,0,Matches
Noah Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,14.6,901,43,373,437,162,2,755,31,42,73.8,31,0,531,3420,2032,532,486,91.4,19,18,Matches
Moise Kean,it ITA,FW,Everton,eng Premier League,19,2000,9.5,273,6,25,110,163,50,268,30,43,69.8,31,4,216,1707,962,421,197,46.8,22,26,Matches
Michael Keane,eng ENG,DF,Everton,eng Premier League,26,1993,28.4,1718,330,1030,730,44,29,1679,0,0,,0,0,945,5555,2870,1063,1041,97.9,3,3,Matches
Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,5.3,428,25,145,256,59,5,407,0,2,0.0,0,0,326,1789,906,345,335,97.1,0,2,Matches
Jules Keita,gn GUI,"MF,FW",Dijon,fr Ligue 1,21,1998,1.8,68,1,6,28,45,13,68,9,20,45.0,12,0,62,701,564,74,55,74.3,8,6,Matches
Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,24,1995,9.1,783,8,88,493,261,26,775,20,26,76.9,21,1,588,3545,2087,668,605,90.6,8,10,Matches
Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,1.9,87,7,32,47,16,3,85,3,4,75.0,4,0,58,306,190,56,53,94.6,4,1,Matches
Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,7.1,285,44,151,97,55,7,248,1,1,100.0,1,0,139,878,379,136,127,93.4,4,1,Matches
Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,17.2,865,100,405,401,93,5,738,3,5,60.0,3,1,429,2041,908,457,433,94.7,7,7,Matches
Kenedy,br BRA,"MF,DF",Getafe,es La Liga,23,1996,6.5,315,6,27,143,169,16,305,19,30,63.3,19,2,237,1750,1062,277,201,72.6,14,27,Matches
Jonjoe Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,1997,30.2,1882,91,532,923,513,29,1529,16,26,61.5,17,0,1001,5000,2588,1129,976,86.4,31,23,Matches
Franck Kessié,ci CIV,MF,Milan,it Serie A,22,1996,30.4,1889,61,375,1142,488,86,1859,29,42,69.0,30,2,1368,7540,3556,1507,1370,90.9,31,42,Matches
Saîf-Eddine Khaoui,tn TUN,"MF,FW",Marseille,fr Ligue 1,24,1995,1.2,82,3,11,39,35,7,75,2,4,50.0,2,0,48,222,97,65,52,80.0,2,4,Matches
Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,12.8,547,1,27,256,312,54,478,19,41,46.3,20,0,373,2590,1602,548,376,68.6,32,36,Matches
Rani Khedira,de GER,MF,Augsburg,de Bundesliga,25,1994,29.4,1169,103,409,635,169,17,1161,8,12,66.7,8,0,623,2726,1129,706,612,86.7,10,30,Matches
Sami Khedira,de GER,MF,Juventus,it Serie A,32,1987,7.6,416,15,79,207,150,22,405,2,3,66.7,2,0,266,1114,498,337,297,88.1,11,5,Matches
Kike,es ESP,FW,Eibar,es La Liga,29,1989,19.6,770,10,40,301,464,109,754,8,17,47.1,9,1,445,2321,804,1186,596,50.3,95,35,Matches
Luca Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,1999,14.0,866,150,610,284,20,8,837,2,4,50.0,2,0,540,3021,1587,574,559,97.4,6,0,Matches
Max Kilman,eng ENG,DF,Wolves,eng Premier League,22,1997,2.1,118,16,65,58,1,0,118,1,1,100.0,1,0,66,302,173,77,74,96.1,0,0,Matches
Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,24,1995,31.3,3149,99,735,1834,814,42,2799,27,43,62.8,29,1,2184,12638,5672,2358,2236,94.8,24,26,Matches
Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,1995,13.6,1227,127,565,707,32,8,1205,12,13,92.3,12,0,912,4802,2537,950,941,99.1,0,2,Matches
Joshua King,no NOR,"FW,MF",Bournemouth,eng Premier League,27,1992,22.3,823,12,104,355,451,104,808,61,122,50.0,66,6,670,5787,3495,984,600,61.0,73,71,Matches
Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,1996,18.1,1337,58,451,574,433,26,1163,21,38,55.3,26,2,946,6178,3741,939,889,94.7,14,24,Matches
Simon Kjær,dk DEN,DF,Atalanta,it Serie A,30,1989,3.2,183,22,99,90,2,1,178,0,1,0.0,0,0,106,479,184,106,104,98.1,0,0,Matches
Simon Kjær,dk DEN,DF,Milan,it Serie A,30,1989,11.9,707,128,426,301,11,6,684,0,0,,0,0,423,1688,893,474,468,98.7,0,2,Matches
Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,32.6,1624,62,351,894,437,63,1581,13,20,65.0,14,0,925,3950,1834,1151,936,81.3,32,18,Matches
Felix Klaus,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1992,7.4,354,10,38,161,181,30,347,6,13,46.2,7,1,232,1702,1081,367,244,66.5,35,16,Matches
Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,33,1985,24.5,1373,257,859,604,32,7,1341,5,7,71.4,6,0,870,6007,3271,934,923,98.8,3,4,Matches
Timm Klose,ch SUI,DF,Norwich City,eng Premier League,31,1988,6.5,452,66,272,198,8,4,438,0,1,0.0,1,0,270,1357,675,309,305,98.7,2,2,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,29.4,2095,193,824,1123,262,29,1985,17,23,73.9,17,0,1321,7548,3975,1436,1373,95.6,8,18,Matches
Justin Kluivert,nl NED,FW,Roma,it Serie A,20,1999,16.6,673,6,67,310,377,59,663,26,50,52.0,31,3,522,4528,3071,669,501,74.9,28,22,Matches
Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,23,1996,20.9,1061,79,403,519,214,14,877,16,34,47.1,16,1,539,3636,1904,563,492,87.4,14,17,Matches
Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,1992,17.7,1159,139,632,565,50,13,1121,7,8,87.5,8,1,712,4355,2562,702,684,97.4,2,6,Matches
Robin Koch,de GER,"DF,MF",Freiburg,de Bundesliga,23,1996,30.1,1789,216,952,870,114,48,1755,5,8,62.5,6,1,1149,7307,4307,1238,1183,95.6,7,13,Matches
Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,20,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,13,0,1,1,100.0,0,0,Matches
Jonathan Kodjia,ci CIV,"FW,MF",Aston Villa,eng Premier League,29,1989,1.3,49,3,5,23,24,7,43,2,2,100.0,2,0,27,208,100,62,29,46.8,4,2,Matches
Kenan Kodro,ba BIH,"FW,MF",Athletic Club,es La Liga,25,1993,4.0,119,3,13,68,47,7,112,3,3,100.0,3,0,70,308,91,162,86,53.1,6,6,Matches
Dominik Kohr,de GER,MF,Eint Frankfurt,de Bundesliga,25,1994,16.1,992,27,193,587,256,37,974,21,32,65.6,22,0,618,3069,1619,732,650,88.8,15,15,Matches
Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,30.0,2054,44,341,1169,620,54,1893,19,29,65.5,19,0,1278,4744,2085,1555,1380,88.7,31,34,Matches
Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,33,1985,29.4,2055,102,562,908,730,67,1714,21,29,72.4,22,0,1195,7399,4849,1391,1290,92.7,17,19,Matches
Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,26,1993,18.9,1182,67,359,601,296,31,1071,14,18,77.8,14,0,730,3768,2366,796,744,93.5,10,14,Matches
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1991,14.5,867,64,405,432,99,10,795,4,6,66.7,5,0,448,3279,1940,549,525,95.6,8,1,Matches
Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,23,1995,14.8,1117,51,372,569,276,12,941,39,64,60.9,43,4,715,4672,2952,670,626,93.4,22,26,Matches
Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,20,1999,6.3,414,45,209,209,27,6,408,4,5,80.0,4,1,283,1810,1005,270,264,97.8,2,2,Matches
Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,192,2,11,111,80,22,176,6,10,60.0,7,1,111,596,214,275,136,49.5,17,17,Matches
Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,1365,98,438,888,129,10,1339,16,19,84.2,16,0,929,5643,2608,942,896,95.1,12,17,Matches
Kouadio Koné,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,520,24,122,308,123,2,515,12,15,80.0,13,0,344,2168,1130,360,327,90.8,16,10,Matches
Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,878,82,489,432,36,17,848,6,7,85.7,6,0,566,4365,2133,572,556,97.2,4,3,Matches
Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,43,0,6,19,24,13,42,1,2,50.0,1,0,27,201,124,67,29,43.3,4,0,Matches
Youssouf Koné,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,730,27,206,432,141,1,648,17,26,65.4,19,1,529,2637,1615,529,512,96.8,9,4,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,1066,122,509,502,106,19,968,7,11,63.6,7,0,557,2578,1385,610,577,94.6,5,6,Matches
Pascal Köpke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,57,0,4,31,26,7,56,1,1,100.0,1,0,39,212,89,65,44,67.7,5,5,Matches
Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,1605,255,975,702,28,8,1560,1,2,50.0,1,0,1037,6586,3044,1102,1089,98.8,4,6,Matches
Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,26,1992,32.9,2063,25,312,924,1015,115,1744,86,141,61.0,88,6,1404,11111,7081,1518,1238,81.6,63,62,Matches
Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,21,1997,2.7,150,3,9,90,61,18,145,9,17,52.9,9,0,110,575,340,192,114,59.4,15,11,Matches
Christian Kouamé,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,381,13,36,176,192,60,368,10,22,45.5,11,0,264,1530,717,480,276,57.5,36,21,Matches
Nianzou Kouassi,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,17,2002,5.0,368,23,129,240,22,3,364,2,2,100.0,2,0,279,1297,706,302,295,97.7,3,3,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,940,831,936,4,1,0,666,1,1,100.0,1,0,460,2654,1250,372,370,99.5,1,0,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,21.4,1759,225,742,1066,75,23,1701,12,18,66.7,12,1,1206,7140,4306,1293,1271,98.3,5,8,Matches
Efthimis Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,670,19,65,333,296,68,638,10,19,52.6,10,0,418,1821,763,829,505,60.9,41,25,Matches
Jules Koundé,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,1743,201,867,869,109,38,1670,18,22,81.8,20,0,1083,6127,3100,1226,1200,97.9,7,11,Matches
Leonardo Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1.0,67,7,37,22,11,0,50,0,0,,0,0,24,78,31,29,27,93.1,0,1,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,eng Premier League,29,1989,28.1,1210,84,397,622,252,55,1194,18,35,51.4,20,1,679,3472,1659,861,684,79.4,38,22,Matches
Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,25,1994,23.0,2086,38,402,1365,476,21,2049,59,77,76.6,60,1,1692,9799,4925,1729,1646,95.2,21,23,Matches
Dawid Kownacki,pl POL,"FW,MF",Düsseldorf,de Bundesliga,22,1997,12.1,497,8,76,239,227,56,479,32,59,54.2,33,1,347,2530,1465,532,323,60.7,29,28,Matches
İsmail Köybaşı,tr TUR,"DF,FW",Granada,es La Liga,30,1989,2.6,114,2,24,57,36,2,96,2,5,40.0,2,0,63,358,140,81,59,72.8,3,4,Matches
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,136,122,136,0,0,0,94,0,0,,0,0,69,514,267,59,58,98.3,0,0,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,540,55,245,217,110,15,465,6,6,100.0,6,1,292,1392,806,311,286,92.0,7,3,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,28,1991,15.8,719,15,91,379,312,77,681,26,36,72.2,26,0,539,3993,2129,766,562,73.4,26,34,Matches
Christoph Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,1098,38,299,674,184,13,1066,17,20,85.0,17,1,704,3200,1517,791,730,92.3,11,11,Matches
Tom Krauß,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0.0,7,0,3,4,0,0,7,0,0,,0,0,3,1,0,4,4,100.0,0,0,Matches
Ladislav Krejčí,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,744,33,235,365,197,16,637,8,12,66.7,8,1,463,2916,1749,536,486,90.7,6,10,Matches
Rene Krhin,si SVN,"DF,MF",Nantes,fr Ligue 1,29,1990,3.6,195,28,106,88,10,2,192,0,0,,0,0,98,464,135,108,101,93.5,2,1,Matches
Felix Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,220,16,67,128,33,2,211,0,0,,0,0,96,382,135,126,113,89.7,2,1,Matches
Toni Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,2736,33,416,1698,785,44,2477,22,27,81.5,23,0,1892,9037,4715,2259,2132,94.4,15,14,Matches
Tim Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,1658,1396,1635,28,0,0,1221,0,1,0.0,0,0,772,3610,1963,840,834,99.3,0,0,Matches
Rade Krunić,ba BIH,MF,Milan,it Serie A,25,1993,6.0,307,3,59,153,113,14,304,8,13,61.5,9,0,203,1100,564,244,209,85.7,8,11,Matches
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,110,10,49,53,14,2,101,5,5,100.0,5,1,66,510,290,75,69,92.0,0,0,Matches
Takefusa Kubo,jp JPN,"MF,FW",Mallorca,es La Liga,18,2001,25.7,1161,15,156,492,617,103,1119,72,120,60.0,81,2,951,7666,5011,1060,841,79.3,61,75,Matches
Juraj Kucka,sk SVK,"MF,FW",Parma,it Serie A,32,1987,20.5,1003,62,211,526,322,56,984,39,58,67.2,40,11,612,3330,1716,862,660,76.6,56,24,Matches
Dejan Kulusevski,se SWE,"FW,MF",Parma,it Serie A,19,2000,30.8,1550,31,227,764,745,171,1494,79,140,56.4,82,5,1250,11368,7036,1497,1101,73.5,98,87,Matches
Marash Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,1166,153,575,602,62,15,1138,4,6,66.7,4,0,697,3467,1784,733,706,96.3,4,3,Matches
Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,1276,79,350,813,218,18,1197,42,53,79.2,45,1,871,5697,3115,806,751,93.2,20,18,Matches
Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,30,1989,15.7,880,34,149,472,346,32,847,27,39,69.2,29,2,631,4782,2906,775,661,85.3,15,28,Matches
Jasmin Kurtić,si SVN,"MF,FW",Parma,it Serie A,30,1989,16.5,827,30,168,449,281,19,790,6,9,66.7,6,0,550,3865,2177,648,580,89.5,15,7,Matches
Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,798,28,206,390,248,29,727,11,17,64.7,11,0,525,2099,1164,570,544,95.4,8,19,Matches
Dereck Kutesa,ch SUI,"FW,MF",Reims,fr Ligue 1,21,1997,5.9,227,1,30,99,119,21,226,14,26,53.8,15,0,183,1595,974,231,162,70.1,16,13,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,de Bundesliga,19,2000,7.5,286,5,28,141,141,21,278,21,33,63.6,22,1,213,1423,805,327,201,61.5,24,25,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,756,48,230,418,149,4,659,9,14,64.3,10,0,430,1964,1171,483,437,90.5,9,9,Matches
Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,51,1,4,25,26,6,48,1,2,50.0,1,0,38,225,107,86,42,48.8,6,4,Matches
Andrea La Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,184,13,23,91,76,32,182,3,4,75.0,3,0,99,359,120,234,136,58.1,9,3,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,1003,33,90,454,543,124,991,27,73,37.0,31,2,649,4477,2889,1257,751,59.7,83,44,Matches
Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,786,22,97,366,361,116,742,25,46,54.3,27,3,543,2669,1258,906,555,61.3,60,43,Matches
Riccardo Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.1,53,3,12,38,6,0,51,0,0,,0,0,35,152,66,43,43,100.0,0,0,Matches
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,957,793,951,6,1,0,696,0,0,,0,0,450,2004,906,411,407,99.0,0,0,Matches
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,1316,168,780,576,26,16,1257,3,5,60.0,3,0,630,3139,1400,692,675,97.5,2,3,Matches
Jack Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,4,0,0,1,3,2,4,0,0,,0,0,3,10,8,7,3,42.9,1,1,Matches
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,1593,39,318,1041,348,19,1559,35,51,68.6,42,0,1063,5726,3233,1143,1039,90.9,31,24,Matches
Stefan Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,1894,98,576,907,565,51,1593,43,76,56.6,45,4,1118,6720,4232,1229,1102,89.7,26,28,Matches
Diego Lainez,mx MEX,"MF,FW",Betis,es La Liga,19,2000,3.9,182,1,13,79,120,18,174,17,26,65.4,18,0,152,1615,1017,182,139,76.4,10,12,Matches
Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,1578,75,447,790,488,27,1267,43,66,65.2,47,2,996,8077,5074,1014,923,91.0,21,37,Matches
Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,31,1988,4.2,333,7,52,178,126,12,331,2,6,33.3,4,1,236,1117,523,273,236,86.4,5,7,Matches
