player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_touches_touches,header_touches_touches_def_pen_area,header_touches_touches_def_3rd,header_touches_touches_mid_3rd,header_touches_touches_att_3rd,header_touches_touches_att_pen_area,header_touches_touches_live_ball,header_dribbles_dribbles_completed,header_dribbles_dribbles,header_dribbles_dribbles_completed_pct,header_dribbles_players_dribbled_past,header_dribbles_nutmegs,header_carries_carries,header_carries_carry_distance,header_carries_carry_progressive_distance,header_receiving_pass_targets,header_receiving_passes_received,header_receiving_passes_received_pct,miscontrols,dispossessed,matches
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,428,23,113,177,165,22,386,13,15,86.7,13,0,286,1483,1003,304,279,91.8,3,10,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,402,24,137,242,49,0,383,7,10,70.0,7,0,209,1174,499,214,200,93.5,9,2,Matches
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,1123,1024,1121,3,0,0,752,1,1,100.0,1,0,482,1959,968,447,446,99.8,0,0,Matches
Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,203,3,26,93,97,17,198,6,8,75.0,7,0,155,989,502,218,165,75.7,6,8,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.4,25,1,11,14,3,0,25,2,3,66.7,2,0,19,188,153,23,18,78.3,1,0,Matches
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,1676,13,133,882,795,165,1585,60,97,61.9,67,1,1235,8804,5009,1959,1317,67.2,69,70,Matches
Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,192,0,12,85,112,36,189,16,20,80.0,16,1,165,1204,701,268,156,58.2,11,14,Matches
Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,21,1,5,12,5,3,21,0,0,,0,0,12,56,12,13,12,92.3,1,0,Matches
Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,332,12,82,133,158,20,323,19,40,47.5,21,1,255,1974,1173,321,215,67.0,21,20,Matches
Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,741,18,161,365,300,48,678,41,85,48.2,43,3,556,4743,3389,621,512,82.4,38,29,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,1248,29,158,502,673,168,1214,25,49,51.0,29,0,865,6213,3885,1528,939,61.5,58,39,Matches
Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1127,1005,1125,2,0,0,727,1,1,100.0,1,0,469,2314,1225,397,395,99.5,0,0,Matches
