player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,0,0,18,7,6,38.9,0.65,0.25,0.06,0.14,0.7,0.7,0.04,+0.3,+0.3,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,0,0,10,4,0,40.0,0.64,0.26,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7,1,1,47,18,0,38.3,3.60,1.38,0.13,0.33,6.9,6.2,0.13,+0.1,-0.2,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,0,0,7,3,0,42.9,0.29,0.12,0.29,0.67,1.0,1.0,0.15,+1.0,+1.0,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,32.6,6,1,1,93,26,11,28.0,2.85,0.80,0.05,0.19,6.6,5.8,0.06,-0.6,-0.8,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1,0,0,14,4,0,28.6,0.39,0.11,0.07,0.25,1.5,1.5,0.11,-0.5,-0.5,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,0,0,0,10,2,0,20.0,1.04,0.21,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,0,0,25,8,1,32.0,2.44,0.78,0.16,0.50,3.3,3.3,0.13,+0.7,+0.7,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5,0,0,15,7,0,46.7,2.55,1.19,0.33,0.71,3.7,3.7,0.25,+1.3,+1.3,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3,0,0,19,8,0,42.1,0.97,0.41,0.16,0.38,2.4,2.4,0.13,+0.6,+0.6,Matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2,0,0,33,8,9,24.2,1.54,0.37,0.06,0.25,1.6,1.6,0.05,+0.4,+0.4,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2,0,0,16,5,0,31.3,0.49,0.15,0.13,0.40,1.1,1.1,0.07,+0.9,+0.9,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1,0,0,2,1,0,50.0,0.09,0.05,0.50,1.00,0.1,0.1,0.07,+0.9,+0.9,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,1,1,0,100.0,0.52,0.52,0.00,0.00,0.0,0.0,0.04,0.0,0.0,Matches
