player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Gaël Kakuta,cd COD,"MF,FW",Amiens,fr Ligue 1,28,1991,22.2,2,0,0,42,12,6,28.6,1.89,0.54,0.05,0.17,3.3,3.3,0.08,-1.3,-1.3,Matches
Lovre Kalinić,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Nikola Kalinić,hr CRO,FW,Roma,it Serie A,31,1988,5.3,4,0,0,15,6,0,40.0,2.81,1.12,0.27,0.67,4.5,4.5,0.30,-0.5,-0.5,Matches
Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,de Bundesliga,33,1985,1.6,1,0,0,6,2,0,33.3,3.70,1.23,0.17,0.50,1.2,1.2,0.21,-0.2,-0.2,Matches
Samuel Kalu,ng NGA,"FW,DF",Bordeaux,fr Ligue 1,21,1997,15.1,1,0,0,40,11,1,27.5,2.65,0.73,0.03,0.09,2.4,2.4,0.06,-1.4,-1.4,Matches
Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,de Bundesliga,22,1996,21.9,2,0,0,48,19,2,39.6,2.19,0.87,0.04,0.11,5.5,5.5,0.11,-3.5,-3.5,Matches
François Kamano,gn GUI,"DF,MF",Bordeaux,fr Ligue 1,23,1996,7.2,1,0,0,5,2,0,40.0,0.69,0.28,0.20,0.50,0.9,0.9,0.17,+0.1,+0.1,Matches
Boubacar Kamara,fr FRA,"DF,MF",Marseille,fr Ligue 1,19,1999,23.8,1,0,0,15,3,0,20.0,0.63,0.13,0.07,0.33,0.5,0.5,0.04,+0.5,+0.5,Matches
Hassane Kamara,gm GAM,"DF,FW",Reims,fr Ligue 1,24,1994,19.0,2,0,0,28,7,1,25.0,1.47,0.37,0.07,0.29,1.4,1.4,0.05,+0.6,+0.6,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,2,0,0,6,3,0,50.0,0.80,0.40,0.33,0.67,0.5,0.5,0.09,+1.5,+1.5,Matches
Harry Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,18,2,2,78,34,7,43.6,2.71,1.18,0.21,0.47,10.8,9.3,0.12,+7.2,+6.7,Matches
Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,0,0,0,2,0,0,0.0,2.65,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Lee Kangin,kr KOR,"MF,FW",Valencia,es La Liga,18,2001,5.0,2,0,0,11,4,0,36.4,2.18,0.79,0.18,0.50,0.7,0.7,0.06,+1.3,+1.3,Matches
N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,3,0,0,18,6,0,33.3,0.94,0.31,0.17,0.50,1.6,1.6,0.09,+1.4,+1.4,Matches
Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,0,0,0,3,0,0,0.0,1.39,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Kenan Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15.0,6,0,0,31,11,0,35.5,2.06,0.73,0.19,0.55,4.2,4.2,0.14,+1.8,+1.8,Matches
Yann Karamoh,fr FRA,"FW,MF",Parma,it Serie A,21,1998,6.1,1,0,0,11,4,0,36.4,1.80,0.66,0.09,0.25,0.6,0.6,0.05,+0.4,+0.4,Matches
Mamoudou Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Florian Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Noah Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,14.6,0,0,0,3,2,0,66.7,0.21,0.14,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Moise Kean,it ITA,FW,Everton,eng Premier League,19,2000,9.5,2,0,0,30,13,0,43.3,3.17,1.37,0.07,0.15,4.4,4.4,0.15,-2.4,-2.4,Matches
Michael Keane,eng ENG,DF,Everton,eng Premier League,26,1993,28.4,2,0,0,13,4,0,30.8,0.46,0.14,0.15,0.50,1.7,1.7,0.13,+0.3,+0.3,Matches
Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,5.3,1,0,0,4,3,0,75.0,0.75,0.56,0.25,0.33,0.3,0.3,0.08,+0.7,+0.7,Matches
Jules Keita,gn GUI,"MF,FW",Dijon,fr Ligue 1,21,1998,1.8,0,0,0,3,0,0,0.0,1.71,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,24,1995,9.1,2,0,0,12,7,0,58.3,1.33,0.77,0.17,0.29,1.6,1.6,0.13,+0.4,+0.4,Matches
Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,1.9,0,0,0,2,1,0,50.0,1.03,0.52,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,7.1,0,0,0,1,0,0,0.0,0.14,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,17.2,0,0,0,3,0,0,0.0,0.17,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Kenedy,br BRA,"MF,DF",Getafe,es La Liga,23,1996,6.5,1,0,0,14,3,0,21.4,2.15,0.46,0.07,0.33,0.8,0.8,0.06,+0.2,+0.2,Matches
Jonjoe Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,1997,30.2,2,0,0,11,5,0,45.5,0.36,0.17,0.18,0.40,1.0,1.0,0.09,+1.0,+1.0,Matches
Franck Kessié,ci CIV,MF,Milan,it Serie A,22,1996,30.4,4,2,2,36,10,0,27.8,1.18,0.33,0.06,0.20,4.2,2.7,0.08,-0.2,-0.7,Matches
Saîf-Eddine Khaoui,tn TUN,"MF,FW",Marseille,fr Ligue 1,24,1995,1.2,0,0,0,5,2,0,40.0,4.25,1.70,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,12.8,3,1,1,45,8,3,17.8,3.52,0.63,0.04,0.25,3.8,3.0,0.07,-0.8,-1.0,Matches
Rani Khedira,de GER,MF,Augsburg,de Bundesliga,25,1994,29.4,0,0,0,10,0,0,0.0,0.34,0.00,0.00,,0.7,0.7,0.07,-0.7,-0.7,Matches
Sami Khedira,de GER,MF,Juventus,it Serie A,32,1987,7.6,0,0,0,12,3,0,25.0,1.59,0.40,0.00,0.00,1.3,1.3,0.11,-1.3,-1.3,Matches
Kike,es ESP,FW,Eibar,es La Liga,29,1989,19.6,5,0,0,57,18,0,31.6,2.90,0.92,0.09,0.28,6.6,6.6,0.12,-1.6,-1.6,Matches
Luca Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,1999,14.0,0,0,0,1,0,0,0.0,0.07,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
Max Kilman,eng ENG,DF,Wolves,eng Premier League,22,1997,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,24,1995,31.3,4,0,0,28,13,2,46.4,0.89,0.42,0.14,0.31,1.4,1.4,0.05,+2.6,+2.6,Matches
Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,1995,13.6,0,0,0,6,2,0,33.3,0.44,0.15,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Joshua King,no NOR,"FW,MF",Bournemouth,eng Premier League,27,1992,22.3,6,3,3,23,9,0,39.1,1.03,0.40,0.13,0.33,6.8,4.5,0.20,-0.8,-1.5,Matches
Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,1996,18.1,0,0,0,20,8,2,40.0,1.10,0.44,0.00,0.00,0.7,0.7,0.04,-0.7,-0.7,Matches
Simon Kjær,dk DEN,DF,Atalanta,it Serie A,30,1989,3.2,0,0,0,1,1,0,100.0,0.31,0.31,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
Simon Kjær,dk DEN,DF,Milan,it Serie A,30,1989,11.9,0,0,0,5,1,0,20.0,0.42,0.08,0.00,0.00,0.4,0.4,0.08,-0.4,-0.4,Matches
Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,32.6,7,1,3,41,15,0,36.6,1.26,0.46,0.15,0.40,7.2,4.8,0.12,-0.2,+1.2,Matches
Felix Klaus,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1992,7.4,0,0,0,19,6,0,31.6,2.55,0.81,0.00,0.00,1.7,1.7,0.09,-1.7,-1.7,Matches
Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,33,1985,24.5,0,0,0,4,1,0,25.0,0.16,0.04,0.00,0.00,0.5,0.5,0.12,-0.5,-0.5,Matches
Timm Klose,ch SUI,DF,Norwich City,eng Premier League,31,1988,6.5,0,0,0,3,0,0,0.0,0.46,0.00,0.00,,0.4,0.4,0.13,-0.4,-0.4,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,29.4,3,0,0,12,6,0,50.0,0.41,0.20,0.25,0.50,2.8,2.8,0.24,+0.2,+0.2,Matches
Justin Kluivert,nl NED,FW,Roma,it Serie A,20,1999,16.6,4,0,0,34,11,0,32.4,2.05,0.66,0.12,0.36,2.8,2.8,0.08,+1.2,+1.2,Matches
Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,23,1996,20.9,0,0,0,2,0,0,0.0,0.10,0.00,0.00,,0.2,0.2,0.12,-0.2,-0.2,Matches
Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,1992,17.7,1,0,0,4,2,0,50.0,0.23,0.11,0.25,0.50,0.5,0.5,0.13,+0.5,+0.5,Matches
Robin Koch,de GER,"DF,MF",Freiburg,de Bundesliga,23,1996,30.1,1,0,0,32,9,0,28.1,1.06,0.30,0.03,0.11,2.8,2.8,0.09,-1.8,-1.8,Matches
Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,20,1999,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Jonathan Kodjia,ci CIV,"FW,MF",Aston Villa,eng Premier League,29,1989,1.3,0,0,0,2,0,0,0.0,1.54,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Kenan Kodro,ba BIH,"FW,MF",Athletic Club,es La Liga,25,1993,4.0,1,0,0,4,2,1,50.0,0.99,0.49,0.25,0.50,0.2,0.2,0.06,+0.8,+0.8,Matches
Dominik Kohr,de GER,MF,Eint Frankfurt,de Bundesliga,25,1994,16.1,0,0,0,27,11,0,40.7,1.68,0.69,0.00,0.00,1.2,1.2,0.05,-1.2,-1.2,Matches
Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,30.0,4,0,0,23,9,0,39.1,0.77,0.30,0.17,0.44,2.5,2.3,0.10,+1.5,+1.7,Matches
Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,33,1985,29.4,7,2,4,67,16,27,23.9,2.28,0.55,0.07,0.31,6.9,3.8,0.06,+0.1,+1.2,Matches
Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,26,1993,18.9,0,0,0,4,0,0,0.0,0.21,0.00,0.00,,0.8,0.8,0.19,-0.8,-0.8,Matches
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1991,14.5,0,0,0,3,1,0,33.3,0.21,0.07,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,Matches
Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,23,1995,14.8,0,0,0,2,0,0,0.0,0.14,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,20,1999,6.3,0,0,0,1,0,0,0.0,0.16,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,2,0,1,11,6,0,54.5,1.61,0.88,0.18,0.33,1.8,1.0,0.09,+0.2,+1.0,Matches
Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,1,0,0,17,4,0,23.5,0.85,0.20,0.06,0.25,1.2,1.2,0.07,-0.2,-0.2,Matches
Kouadio Koné,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,0,0,0,9,1,0,11.1,0.93,0.10,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,1,0,0,8,2,0,25.0,0.49,0.12,0.13,0.50,0.6,0.6,0.07,+0.4,+0.4,Matches
Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,2,0,0,7,3,0,42.9,4.50,1.93,0.29,0.67,1.3,1.3,0.18,+0.7,+0.7,Matches
Youssouf Koné,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,0,0,0,3,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,1,0,0,11,4,0,36.4,0.49,0.18,0.09,0.25,1.6,1.6,0.14,-0.6,-0.6,Matches
Pascal Köpke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,0,0,0,6,3,0,50.0,4.46,2.23,0.00,0.00,0.8,0.8,0.14,-0.8,-0.8,Matches
Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,0,0,0,3,1,0,33.3,0.12,0.04,0.00,0.00,0.4,0.4,0.15,-0.4,-0.4,Matches
Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,26,1992,32.9,4,0,0,86,27,10,31.4,2.62,0.82,0.05,0.15,6.1,6.1,0.07,-2.1,-2.1,Matches
Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,21,1997,2.7,0,0,0,10,2,0,20.0,3.73,0.75,0.00,0.00,1.4,1.4,0.14,-1.4,-1.4,Matches
Christian Kouamé,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,5,0,0,22,9,0,40.9,2.16,0.89,0.23,0.56,1.7,1.7,0.08,+3.3,+3.3,Matches
Nianzou Kouassi,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,17,2002,5.0,2,0,0,2,2,0,100.0,0.40,0.40,1.00,1.00,0.4,0.4,0.19,+1.6,+1.6,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,21.4,0,0,0,15,4,0,26.7,0.70,0.19,0.00,0.00,0.9,0.9,0.06,-0.9,-0.9,Matches
Efthimis Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,4,0,0,40,15,0,37.5,2.34,0.88,0.10,0.27,4.4,4.4,0.11,-0.4,-0.4,Matches
Jules Koundé,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,1,0,0,22,5,0,22.7,0.86,0.19,0.05,0.20,2.2,2.2,0.10,-1.2,-1.2,Matches
Leonardo Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,eng Premier League,29,1989,28.1,1,0,0,23,5,0,21.7,0.82,0.18,0.04,0.20,1.9,1.9,0.08,-0.9,-0.9,Matches
Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,25,1994,23.0,1,0,0,21,5,0,23.8,0.91,0.22,0.05,0.20,1.2,1.2,0.06,-0.2,-0.2,Matches
Dawid Kownacki,pl POL,"FW,MF",Düsseldorf,de Bundesliga,22,1997,12.1,0,0,0,27,11,0,40.7,2.22,0.91,0.00,0.00,1.9,1.9,0.07,-1.9,-1.9,Matches
İsmail Köybaşı,tr TUR,"DF,FW",Granada,es La Liga,30,1989,2.6,0,0,0,1,0,1,0.0,0.39,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,0,0,0,4,0,0,0.0,0.35,0.00,0.00,,0.3,0.3,0.07,-0.3,-0.3,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,28,1991,15.8,12,2,2,40,20,3,50.0,2.53,1.27,0.25,0.50,9.5,8.0,0.20,+2.5,+2.0,Matches
Christoph Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,0,0,0,10,0,0,0.0,0.61,0.00,0.00,,0.5,0.5,0.05,-0.5,-0.5,Matches
Tom Krauß,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Ladislav Krejčí,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,1,0,0,3,1,0,33.3,0.26,0.09,0.33,1.00,0.3,0.3,0.09,+0.7,+0.7,Matches
Rene Krhin,si SVN,"DF,MF",Nantes,fr Ligue 1,29,1990,3.6,0,0,0,1,0,0,0.0,0.28,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Felix Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,0,0,0,5,3,1,60.0,1.19,0.71,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5,Matches
Toni Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,4,0,0,57,18,2,31.6,1.93,0.61,0.07,0.22,2.9,2.9,0.05,+1.1,+1.1,Matches
Tim Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Rade Krunić,ba BIH,MF,Milan,it Serie A,25,1993,6.0,0,0,0,6,2,0,33.3,1.01,0.34,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,0,0,0,2,1,0,50.0,0.86,0.43,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
Takefusa Kubo,jp JPN,"MF,FW",Mallorca,es La Liga,18,2001,25.7,4,0,0,54,25,6,46.3,2.10,0.97,0.07,0.16,3.0,3.0,0.06,+1.0,+1.0,Matches
Juraj Kucka,sk SVK,"MF,FW",Parma,it Serie A,32,1987,20.5,6,2,2,44,10,1,22.7,2.15,0.49,0.09,0.40,4.7,3.2,0.07,+1.3,+0.8,Matches
Dejan Kulusevski,se SWE,"FW,MF",Parma,it Serie A,19,2000,30.8,9,1,1,53,20,0,37.7,1.72,0.65,0.15,0.40,6.1,5.4,0.10,+2.9,+2.6,Matches
Marash Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,1,0,0,11,5,0,45.5,0.51,0.23,0.09,0.20,1.5,1.5,0.14,-0.5,-0.5,Matches
Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,4,0,0,38,10,3,26.3,1.83,0.48,0.11,0.40,3.1,3.1,0.08,+0.9,+0.9,Matches
Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,30,1989,15.7,2,0,0,47,10,5,21.3,3.00,0.64,0.04,0.20,2.0,2.0,0.04,0.0,0.0,Matches
Jasmin Kurtić,si SVN,"MF,FW",Parma,it Serie A,30,1989,16.5,2,0,0,19,7,0,36.8,1.15,0.42,0.11,0.29,0.9,0.9,0.05,+1.1,+1.1,Matches
Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,1,0,0,6,3,0,50.0,0.63,0.31,0.17,0.33,0.6,0.6,0.11,+0.4,+0.4,Matches
Dereck Kutesa,ch SUI,"FW,MF",Reims,fr Ligue 1,21,1997,5.9,1,0,0,4,2,0,50.0,0.68,0.34,0.25,0.50,0.2,0.2,0.06,+0.8,+0.8,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,de Bundesliga,19,2000,7.5,3,0,0,15,5,0,33.3,1.99,0.66,0.20,0.60,1.6,1.6,0.11,+1.4,+1.4,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,0,0,0,4,2,0,50.0,0.37,0.18,0.00,0.00,0.3,0.3,0.08,-0.3,-0.3,Matches
Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,0,0,0,4,2,0,50.0,1.94,0.97,0.00,0.00,0.4,0.4,0.10,-0.4,-0.4,Matches
Andrea La Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,2,0,0,20,8,0,40.0,3.25,1.30,0.10,0.25,3.4,3.4,0.18,-1.4,-1.4,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,6,0,0,63,21,0,33.3,2.53,0.84,0.10,0.29,8.3,8.3,0.13,-2.3,-2.3,Matches
Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,10,0,0,53,26,3,49.1,2.55,1.25,0.19,0.38,8.1,8.1,0.16,+1.9,+1.9,Matches
Riccardo Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,1,0,0,8,1,0,12.5,0.27,0.03,0.13,1.00,0.8,0.8,0.09,+0.2,+0.2,Matches
Jack Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,1,0,0,1,1,0,100.0,10.00,10.00,1.00,1.00,0.3,0.3,0.35,+0.7,+0.7,Matches
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,2,0,0,10,6,0,60.0,0.43,0.26,0.20,0.33,0.7,0.7,0.07,+1.3,+1.3,Matches
Stefan Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,1,0,0,16,5,0,31.3,0.53,0.17,0.06,0.20,1.2,1.2,0.07,-0.2,-0.2,Matches
Diego Lainez,mx MEX,"MF,FW",Betis,es La Liga,19,2000,3.9,0,0,0,6,2,0,33.3,1.55,0.52,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,2,2,2,16,5,4,31.3,0.70,0.22,0.00,0.00,2.9,1.3,0.08,-0.9,-1.3,Matches
Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,31,1988,4.2,1,0,0,5,1,0,20.0,1.18,0.24,0.20,1.00,1.1,1.1,0.21,-0.1,-0.1,Matches
Érik Lamela,ar ARG,"MF,FW",Tottenham,eng Premier League,27,1992,13.5,2,0,0,29,8,4,27.6,2.15,0.59,0.07,0.25,2.8,2.8,0.10,-0.8,-0.8,Matches
Tariq Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,2000,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Tariq Lamptey,eng ENG,DF,Brighton,eng Premier League,18,2000,6.5,0,0,0,2,0,0,0.0,0.31,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Loïck Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,1992,10.3,1,0,0,5,2,0,40.0,0.48,0.19,0.20,0.50,1.0,1.0,0.20,0.0,0.0,Matches
Michael Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,1991,6.0,0,0,0,5,2,0,40.0,0.83,0.33,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,1988,3.5,0,0,0,4,1,0,25.0,1.15,0.29,0.00,0.00,0.4,0.4,0.10,-0.4,-0.4,Matches
Henri Lansbury,eng ENG,MF,Aston Villa,eng Premier League,28,1990,2.2,0,0,0,2,0,0,0.0,0.92,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,26,1993,15.3,0,0,0,23,7,3,30.4,1.50,0.46,0.00,0.00,2.1,2.1,0.09,-2.1,-2.1,Matches
Gianluca Lapadula,it ITA,FW,Lecce,it Serie A,29,1990,17.9,9,2,2,57,19,0,33.3,3.18,1.06,0.12,0.37,9.9,8.4,0.15,-0.9,-1.4,Matches
Aymeric Laporte,fr FRA,DF,Manchester City,eng Premier League,25,1994,12.2,1,0,0,4,1,0,25.0,0.33,0.08,0.25,1.00,0.4,0.4,0.09,+0.6,+0.6,Matches
Danilo Larangeira,br BRA,DF,Bologna,it Serie A,35,1984,27.4,2,0,0,7,2,0,28.6,0.26,0.07,0.29,1.00,0.5,0.5,0.08,+1.5,+1.5,Matches
Larra,es ESP,"FW,MF",Athletic Club,es La Liga,21,1997,2.8,0,0,0,3,1,0,33.3,1.08,0.36,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kevin Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,27.1,10,0,0,80,34,1,42.5,2.95,1.25,0.13,0.29,10.0,10.0,0.13,0.0,0.0,Matches
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,1993,23.1,1,0,0,9,2,0,22.2,0.39,0.09,0.11,0.50,0.4,0.4,0.04,+0.6,+0.6,Matches
Paul Lasne,fr FRA,"MF,FW",Brest,fr Ligue 1,30,1989,13.6,2,0,0,15,5,0,33.3,1.10,0.37,0.13,0.40,1.1,1.1,0.07,+0.9,+0.9,Matches
Toni Lato,es ESP,"DF,MF",Osasuna,es La Liga,21,1997,5.2,1,0,0,4,2,0,50.0,0.77,0.38,0.25,0.50,0.3,0.3,0.08,+0.7,+0.7,Matches
Danny Latza,de GER,MF,Mainz 05,de Bundesliga,29,1989,15.3,0,0,0,15,3,0,20.0,0.98,0.20,0.00,0.00,1.0,1.0,0.07,-1.0,-1.0,Matches
Vincent Laurini,fr FRA,DF,Parma,it Serie A,30,1989,9.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
