player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Alejandro Blesa,es ESP,MF,Levante,es La Liga,17,2002,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alexis Blin,fr FRA,MF,Amiens,fr Ligue 1,22,1996,24,21,"1,841",0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.6,0.01,0.03,0.04,0.01,0.04,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,24,23,"1,796",0,2,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.3,0.02,0.07,0.08,0.02,0.08,Matches
Kevin-Prince Boateng,gh GHA,FW,Fiorentina,it Serie A,32,1987,14,6,599,1,0,0,0,2,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,0.3,0.26,0.04,0.30,0.26,0.30,Matches
Antonin Bobichon,fr FRA,MF,Nîmes,fr Ligue 1,23,1995,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.05,0.01,0.05,Matches
Antonin Bobichon,fr FRA,MF,Angers,fr Ligue 1,23,1995,11,8,649,2,1,0,0,0,0,0.28,0.14,0.42,0.28,0.42,1.1,1.1,1.0,0.15,0.14,0.29,0.15,0.29,Matches
Salvatore Bocchetti,it ITA,DF,Hellas Verona,it Serie A,32,1986,5,3,303,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mathieu Bodmer,fr FRA,MF,Amiens,fr Ligue 1,36,1982,9,0,88,1,0,0,0,1,0,1.02,0.00,1.02,1.02,1.02,0.3,0.3,0.3,0.27,0.27,0.53,0.27,0.53,Matches
Adam Bodzek,de GER,MF,Düsseldorf,de Bundesliga,33,1985,28,22,"2,015",0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,0.03,0.01,0.04,0.03,0.04,Matches
Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,25,1994,28,26,"2,266",4,5,0,0,5,0,0.16,0.20,0.36,0.16,0.36,3.0,3.0,3.4,0.12,0.13,0.26,0.12,0.26,Matches
Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,18,2000,5,1,172,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.05,0.10,0.04,0.10,Matches
Jeremie Boga,ci CIV,FW,Sassuolo,it Serie A,22,1997,34,28,"2,513",11,2,0,0,0,0,0.39,0.07,0.47,0.39,0.47,5.0,5.0,3.0,0.18,0.11,0.29,0.18,0.29,Matches
Melayro Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,17,2002,2,1,51,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Quentin Boisgard,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,1997,20,13,"1,146",1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.9,0.9,1.7,0.07,0.13,0.20,0.07,0.20,Matches
Willy Boly,fr FRA,DF,Wolves,eng Premier League,28,1991,22,22,"1,979",0,1,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
Giacomo Bonaventura,it ITA,"MF,FW",Milan,it Serie A,29,1989,27,13,"1,256",3,3,0,0,2,0,0.21,0.21,0.43,0.21,0.43,3.7,3.7,2.1,0.26,0.15,0.41,0.26,0.41,Matches
Federico Bonazzoli,it ITA,"FW,MF",Sampdoria,it Serie A,22,1997,19,7,744,6,0,0,0,1,0,0.73,0.00,0.73,0.73,0.73,4.2,4.2,0.6,0.50,0.07,0.57,0.50,0.57,Matches
Gaëtan Bong,cm CMR,"MF,DF",Brighton,eng Premier League,31,1988,4,0,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.20,0.20,0.00,0.20,Matches
Kevin Bonifazi,it ITA,DF,Torino,it Serie A,23,1996,3,3,247,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.2,0.2,0.0,0.06,0.01,0.07,0.06,0.07,Matches
Kevin Bonifazi,it ITA,DF,SPAL,it Serie A,23,1996,12,11,"1,011",1,0,0,0,2,1,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,33,33,"2,942",3,0,0,0,10,0,0.09,0.00,0.09,0.09,0.09,3.2,3.2,0.7,0.10,0.02,0.12,0.10,0.12,Matches
Fabio Borini,it ITA,"FW,MF",Hellas Verona,it Serie A,28,1991,12,8,680,3,0,1,1,1,1,0.40,0.00,0.40,0.26,0.26,2.6,1.9,0.4,0.35,0.05,0.39,0.25,0.29,Matches
Fabio Borini,it ITA,"MF,FW",Milan,it Serie A,28,1991,2,1,70,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.00,0.09,0.09,0.09,Matches
Dennis Borkowski,de GER,FW,RB Leipzig,de Bundesliga,17,2002,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,3,2,181,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,28,28,"2,447",6,0,0,0,5,1,0.22,0.00,0.22,0.22,0.22,2.9,2.9,0.6,0.11,0.02,0.13,0.11,0.13,Matches
Brandon Borrello,au AUS,"MF,FW",Freiburg,de Bundesliga,24,1995,7,4,298,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.08,0.14,0.06,0.14,Matches
Gabriel Boschilia,br BRA,"MF,FW",Monaco,fr Ligue 1,23,1996,5,1,130,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.12,0.00,0.12,0.12,0.12,Matches
Denis Bouanga,ga GAB,"FW,DF",Saint-Étienne,fr Ligue 1,24,1994,26,23,"2,042",10,3,3,3,4,0,0.44,0.13,0.57,0.31,0.44,9.5,7.2,2.1,0.42,0.09,0.51,0.32,0.41,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,fr Ligue 1,19,1999,9,6,490,1,2,0,0,2,1,0.18,0.37,0.55,0.18,0.55,0.8,0.8,1.1,0.15,0.21,0.36,0.15,0.36,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,fr Ligue 1,29,1990,24,20,"1,597",1,4,1,1,0,0,0.06,0.23,0.28,0.00,0.23,1.7,1.0,3.2,0.10,0.18,0.28,0.06,0.24,Matches
Sofiane Boufal,ma MAR,"MF,FW",Southampton,eng Premier League,25,1993,20,8,764,0,2,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.7,0.11,0.31,0.43,0.11,0.43,Matches
Nassim Boujellab,de GER,"MF,FW",Schalke 04,de Bundesliga,20,1999,11,3,419,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.10,0.03,0.12,0.10,0.12,Matches
Farid Boulaya,dz ALG,FW,Metz,fr Ligue 1,26,1993,19,8,821,2,1,0,0,1,1,0.22,0.11,0.33,0.22,0.33,2.4,2.4,1.7,0.26,0.18,0.45,0.26,0.45,Matches
Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,0,1,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.4,0.00,0.07,0.07,0.00,0.07,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,it Serie A,27,1991,15,8,745,1,1,0,0,7,1,0.12,0.12,0.24,0.12,0.24,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,25,21,"1,903",2,2,0,0,5,0,0.09,0.09,0.19,0.09,0.19,2.3,2.3,2.2,0.11,0.10,0.21,0.11,0.21,Matches
Bilal Boutobba,fr FRA,"MF,DF",Montpellier,fr Ligue 1,20,1998,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,22,1996,13,11,917,1,4,0,0,0,0,0.10,0.39,0.49,0.10,0.49,1.8,1.8,2.4,0.17,0.23,0.40,0.17,0.40,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,28,28,"2,436",4,1,0,0,8,1,0.15,0.04,0.18,0.15,0.18,1.7,1.7,1.0,0.06,0.04,0.10,0.06,0.10,Matches
John Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,24,24,"2,115",2,0,0,0,6,0,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.1,0.06,0.00,0.06,0.06,0.06,Matches
Can Bozdogan,de GER,MF,Schalke 04,de Bundesliga,18,2001,3,3,235,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.05,0.01,0.05,0.05,0.05,Matches
Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,19,1999,18,16,"1,419",0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.7,0.02,0.11,0.13,0.02,0.13,Matches
Filip Bradarić,hr CRO,MF,Celta Vigo,es La Liga,27,1992,14,7,706,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.08,0.01,0.08,0.08,0.08,Matches
Robbie Brady,ie IRL,MF,Burnley,eng Premier League,27,1992,17,5,454,1,2,0,0,1,0,0.20,0.40,0.59,0.20,0.59,1.2,1.2,0.3,0.23,0.06,0.29,0.23,0.29,Matches
Martin Braithwaite,dk DEN,"FW,MF",Barcelona,es La Liga,28,1991,11,4,407,1,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22,2.7,2.7,0.0,0.60,0.01,0.60,0.60,0.60,Matches
Martin Braithwaite,dk DEN,"FW,MF",Leganés,es La Liga,28,1991,24,21,"1,934",6,1,0,1,3,0,0.28,0.05,0.33,0.28,0.33,6.5,5.8,1.2,0.30,0.06,0.36,0.27,0.33,Matches
Brandon,es ESP,FW,Osasuna,es La Liga,24,1995,8,5,406,0,1,0,0,4,0,0.00,0.22,0.22,0.00,0.22,0.9,0.9,0.4,0.21,0.09,0.30,0.21,0.30,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,23,1996,33,25,"2,203",3,7,0,0,0,0,0.12,0.29,0.41,0.12,0.41,3.9,3.9,5.7,0.16,0.23,0.39,0.16,0.39,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,4,2,300,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,27,1992,31,27,"2,245",0,1,0,0,8,0,0.00,0.04,0.04,0.00,0.04,1.9,1.9,1.6,0.08,0.06,0.14,0.08,0.14,Matches
Erling Braut Håland,no NOR,FW,Dortmund,de Bundesliga,19,2000,15,11,"1,063",13,2,0,0,0,0,1.10,0.17,1.27,1.10,1.27,8.3,8.3,1.5,0.70,0.13,0.83,0.70,0.83,Matches
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,21,1998,30,19,"1,670",3,4,0,0,0,0,0.16,0.22,0.38,0.16,0.38,3.7,3.7,5.8,0.20,0.31,0.51,0.20,0.51,Matches
Gleison Bremer,br BRA,DF,Torino,it Serie A,22,1997,25,25,"2,090",3,1,0,0,6,2,0.13,0.04,0.17,0.13,0.17,1.3,1.3,0.1,0.06,0.01,0.06,0.06,0.06,Matches
Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,22,20,"1,737",1,0,0,0,0,2,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.1,0.08,0.00,0.08,0.08,0.08,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,22,18,"1,525",7,1,1,1,1,0,0.41,0.06,0.47,0.35,0.41,5.7,4.9,1.0,0.34,0.06,0.39,0.29,0.35,Matches
Yan Brice Eteki,cm CMR,MF,Granada,es La Liga,21,1997,28,18,"1,499",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.02,0.00,0.03,0.02,0.03,Matches
Armando Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dylan Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
David Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,9,8,506,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,0.4,0.14,0.08,0.22,0.14,0.22,Matches
John Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,25,25,"2,224",0,1,0,0,4,0,0.00,0.04,0.04,0.00,0.04,1.5,1.5,0.7,0.06,0.03,0.09,0.06,0.09,Matches
Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,26,16,"1,709",2,4,1,1,3,0,0.11,0.21,0.32,0.05,0.26,1.7,0.9,3.9,0.09,0.21,0.30,0.05,0.26,Matches
Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,10,9,805,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.05,0.02,0.08,0.05,0.08,Matches
Marcelo Brozović,hr CRO,MF,Inter,it Serie A,26,1992,30,28,"2,521",3,6,0,0,7,0,0.11,0.21,0.32,0.11,0.32,3.4,3.4,2.8,0.12,0.10,0.22,0.12,0.22,Matches
Gastón Brugman,uy URU,MF,Parma,it Serie A,26,1992,23,17,"1,458",0,2,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.0,0.02,0.06,0.08,0.02,0.08,Matches
Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,0.14,0.00,0.14,0.14,0.14,Matches
Jeffrey Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,8,8,675,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.05,0.00,0.05,0.05,0.05,Matches
