player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,20,1998,11,5,391,0,1,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.3,0.3,1.3,0.07,0.31,0.38,0.07,0.38,Matches
Jacob Bruun Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,4,0,68,0,1,0,0,0,0,0.00,1.32,1.32,0.00,1.32,0.0,0.0,0.3,0.00,0.38,0.38,0.00,0.38,Matches
Bryan,es ESP,"MF,FW",Leganés,es La Liga,18,2001,12,4,558,1,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,1.0,0.16,0.17,0.33,0.16,0.33,Matches
Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,2,0,65,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Buadés,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,6,1,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ante Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,35,33,"2,765",13,2,2,2,12,0,0.42,0.07,0.49,0.36,0.42,10.5,9.0,1.0,0.34,0.03,0.37,0.29,0.32,Matches
Emi Buendía,ar ARG,"FW,MF",Norwich City,eng Premier League,22,1996,36,28,"2,464",1,7,0,0,6,1,0.04,0.26,0.29,0.04,0.29,2.3,2.3,7.5,0.08,0.27,0.36,0.08,0.36,Matches
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,41,1978,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.03,0.03,0.00,0.03,Matches
Marius Bülter,de GER,"MF,FW",Union Berlin,de Bundesliga,26,1993,32,28,"2,321",7,1,0,0,1,0,0.27,0.04,0.31,0.27,0.31,3.0,3.0,3.6,0.12,0.14,0.26,0.12,0.26,Matches
Esteban Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,15,11,"1,119",1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.2,0.06,0.02,0.08,0.06,0.08,Matches
Guido Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,21,13,"1,234",0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,4.5,4.5,0.9,0.33,0.06,0.39,0.33,0.39,Matches
Burgui,es ESP,MF,Alavés,es La Liga,25,1993,2,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,8,3,253,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.8,0.8,0.1,0.28,0.04,0.32,0.28,0.32,Matches
Oliver Burke,sco SCO,"MF,FW",Alavés,es La Liga,22,1997,31,14,"1,429",1,2,0,0,2,0,0.06,0.13,0.19,0.06,0.19,3.3,3.3,1.2,0.21,0.08,0.28,0.21,0.28,Matches
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,31,31,"2,770",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dan Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,34,33,"2,880",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.3,0.04,0.04,0.09,0.04,0.09,Matches
Patrick Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,20,15,"1,434",1,1,0,0,6,1,0.06,0.06,0.13,0.06,0.13,0.2,0.2,0.6,0.01,0.04,0.05,0.01,0.05,Matches
Sergio Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,33,29,"2,483",2,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,1.1,1.1,2.8,0.04,0.10,0.14,0.04,0.14,Matches
Unai Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,33,31,"2,684",0,1,0,0,8,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.2,0.01,0.04,0.06,0.01,0.06,Matches
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,26,"2,340",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sam Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,17,15,"1,293",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
Erick Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,4,3,267,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Erick Cabaco,uy URU,DF,Levante,es La Liga,24,1995,11,9,809,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yohan Cabaye,fr FRA,MF,Saint-Étienne,fr Ligue 1,33,1986,15,12,858,0,1,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.5,0.07,0.06,0.13,0.07,0.13,Matches
Manuel Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3,3,270,0,1,0,0,2,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.7,0.00,0.25,0.25,0.00,0.25,Matches
