player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_performance_cards_yellow,header_performance_cards_red,header_performance_cards_yellow_red,header_performance_fouls,header_performance_fouled,header_performance_offsides,header_performance_crosses,header_performance_interceptions,header_performance_tackles_won,header_performance_pens_won,header_performance_pens_conceded,header_performance_own_goals,header_performance_ball_recoveries,header_aerials_aerials_won,header_aerials_aerials_lost,header_aerials_aerials_won_pct,matches
Raoul Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,0,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Karim Bellarabi,de GER,"FW,DF",Leverkusen,de Bundesliga,29,1990,15.8,2,0,0,22,14,6,110,9,11,1,0,0,103,2,7,22.2,Matches
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,2,0,0,30,31,0,33,21,27,1,0,0,159,5,28,15.2,Matches
Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,2,0,0,15,3,1,26,18,16,0,0,0,100,13,17,43.3,Matches
Andrea Belotti,it ITA,FW,Torino,it Serie A,25,1993,32.2,4,0,0,64,101,20,46,6,26,1,0,1,138,99,111,47.1,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,2,1,0,12,11,1,19,15,24,0,1,0,166,8,31,20.5,Matches
Sami Ben Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,0.2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,25.0,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,es La Liga,32,1987,1.8,1,0,0,2,0,1,0,0,0,0,0,0,10,2,0,100.0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,24.0,1,0,0,10,17,7,30,4,15,1,0,0,125,11,43,20.4,Matches
Marco Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.9,1,0,0,23,6,0,19,4,10,0,0,0,75,5,16,23.8,Matches
Cristian Benavente,pe PER,"MF,FW",Nantes,fr Ligue 1,25,1994,3.9,0,0,0,5,4,0,4,2,8,0,0,0,23,2,14,12.5,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,30,1989,15.3,3,0,0,17,11,1,20,27,32,0,0,0,160,28,32,46.7,Matches
Sven Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,30.3,3,0,0,25,21,0,1,62,44,0,0,0,389,121,59,67.2,Matches
