player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,26,1993,18.9,869,1031,84.3,14321,4425,8,31,25.8,756,849,89.0,105,151,69.5,2,1.0,+1.0,9,52,15,4,83,Matches
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1991,14.5,563,721,78.1,10944,4152,3,17,17.6,446,508,87.8,114,196,58.2,0,0.3,-0.3,8,35,4,2,73,Matches
Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,23,1995,14.8,711,897,79.3,12433,5367,8,35,22.9,596,682,87.4,107,180,59.4,1,1.0,0.0,15,55,13,6,125,Matches
Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,20,1999,6.3,303,342,88.6,5903,1597,4,5,80.0,220,243,90.5,79,94,84.0,0,0.1,-0.1,2,18,4,1,14,Matches
Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,87,118,73.7,1347,198,4,11,36.4,75,97,77.3,8,10,80.0,0,0.1,-0.1,3,7,1,0,8,Matches
Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,946,1114,84.9,19637,4245,18,24,75.0,665,750,88.7,263,340,77.4,1,0.2,+0.8,6,87,4,0,82,Matches
Kouadio Koné,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,317,383,82.8,5329,1378,9,13,69.2,255,294,86.7,53,76,69.7,0,0.1,-0.1,5,23,0,0,25,Matches
Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,602,736,81.8,13848,4316,3,17,17.6,391,442,88.5,208,277,75.1,0,0.4,-0.4,4,42,5,3,53,Matches
Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,18,22,81.8,351,34,2,3,66.7,12,15,80.0,4,4,100.0,0,0.1,-0.1,1,2,0,0,0,Matches
Youssouf Koné,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,561,648,86.6,10577,3340,2,9,22.2,454,492,92.3,105,147,71.4,0,0.6,-0.6,10,28,5,2,64,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,674,853,79.0,13926,4931,8,19,42.1,483,555,87.0,183,279,65.6,2,0.5,+1.5,9,45,5,2,70,Matches
Pascal Köpke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,25,36,69.4,359,66,3,4,75.0,18,26,69.2,4,6,66.7,0,0.1,-0.1,1,0,0,0,2,Matches
Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,1219,1362,89.5,27059,9854,6,9,66.7,820,877,93.5,393,476,82.6,0,0.6,-0.6,4,52,2,0,58,Matches
Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,26,1992,32.9,965,1613,59.8,19659,8143,18,103,17.5,691,939,73.6,256,571,44.8,11,9.5,+1.5,79,71,61,41,275,Matches
Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,21,1997,2.7,65,90,72.2,1029,184,3,11,27.3,53,63,84.1,9,16,56.3,0,0.1,-0.1,3,4,2,1,9,Matches
Christian Kouamé,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,182,242,75.2,2749,497,3,13,23.1,156,198,78.8,23,31,74.2,2,1.2,+0.8,14,10,8,1,21,Matches
Nianzou Kouassi,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,17,2002,5.0,309,336,92.0,6252,1897,2,5,40.0,222,240,92.5,85,91,93.4,0,0.2,-0.2,3,21,0,0,24,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,500,840,59.5,17794,10509,0,0,,207,207,100.0,293,633,46.3,0,0.1,-0.1,1,10,0,0,0,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,21.4,1415,1535,92.2,29356,10708,16,21,76.2,992,1043,95.1,407,471,86.4,0,0.6,-0.6,9,135,9,1,103,Matches
Efthimis Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,362,496,73.0,5121,776,22,48,45.8,303,390,77.7,37,58,63.8,2,1.3,+0.7,18,16,9,3,23,Matches
Jules Koundé,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,1284,1489,86.2,26927,8422,5,22,22.7,913,996,91.7,366,471,77.7,1,0.6,+0.4,3,72,2,2,82,Matches
Leonardo Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1.0,41,56,73.2,682,385,1,5,20.0,37,44,84.1,3,7,42.9,0,0.2,-0.2,1,1,2,1,5,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,eng Premier League,29,1989,28.1,653,860,75.9,10612,3244,24,59,40.7,522,643,81.2,107,158,67.7,1,0.9,+0.1,8,39,8,1,57,Matches
Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,25,1994,23.0,1665,1846,90.2,32399,7924,24,41,58.5,1236,1313,94.1,405,492,82.3,3,2.0,+1.0,29,178,26,2,172,Matches
Dawid Kownacki,pl POL,"FW,MF",Düsseldorf,de Bundesliga,22,1997,12.1,214,311,68.8,3517,717,9,28,32.1,173,232,74.6,32,51,62.7,0,0.7,-0.7,11,10,11,3,25,Matches
İsmail Köybaşı,tr TUR,"DF,FW",Granada,es La Liga,30,1989,2.6,57,84,67.9,1056,541,2,7,28.6,41,52,78.8,14,25,56.0,0,0.2,-0.2,1,8,2,2,17,Matches
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,78,129,60.5,3102,2356,0,0,,28,28,100.0,50,101,49.5,0,0.0,0.0,0,2,0,0,0,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,316,433,73.0,5629,2656,4,20,20.0,262,314,83.4,50,99,50.5,1,0.4,+0.6,1,23,4,2,50,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,28,1991,15.8,445,554,80.3,7451,1455,15,31,48.4,346,406,85.2,84,117,71.8,2,3.1,-1.1,23,26,23,2,53,Matches
Christoph Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,796,935,85.1,13898,3533,17,34,50.0,647,730,88.6,132,171,77.2,0,0.5,-0.5,7,55,10,1,60,Matches
Tom Krauß,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0.0,5,5,100.0,94,36,0,0,,3,3,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Ladislav Krejčí,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,533,647,82.4,9136,3790,13,32,40.6,435,491,88.6,85,124,68.5,0,0.5,-0.5,10,47,20,6,91,Matches
Rene Krhin,si SVN,"DF,MF",Nantes,fr Ligue 1,29,1990,3.6,137,156,87.8,2752,583,0,1,0.0,103,114,90.4,34,41,82.9,0,0.0,0.0,0,1,0,0,4,Matches
Felix Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,129,159,81.1,2418,793,3,6,50.0,94,109,86.2,32,44,72.7,0,0.2,-0.2,1,13,1,0,19,Matches
Toni Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,2233,2512,88.9,44640,11749,40,56,71.4,1622,1700,95.4,571,756,75.5,5,4.4,+0.6,63,254,37,7,235,Matches
Tim Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,1046,1550,67.5,32750,19184,1,5,20.0,477,480,99.4,568,1065,53.3,0,0.0,0.0,0,11,0,0,3,Matches
Rade Krunić,ba BIH,MF,Milan,it Serie A,25,1993,6.0,196,235,83.4,3105,937,7,15,46.7,163,186,87.6,26,34,76.5,1,1.0,0.0,9,10,6,1,29,Matches
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,77,96,80.2,1858,743,1,2,50.0,44,51,86.3,32,43,74.4,0,0.0,0.0,0,10,1,0,10,Matches
Takefusa Kubo,jp JPN,"MF,FW",Mallorca,es La Liga,18,2001,25.7,539,764,70.5,8493,2566,14,59,23.7,469,584,80.3,56,121,46.3,4,3.0,+1.0,34,40,33,8,91,Matches
Juraj Kucka,sk SVK,"MF,FW",Parma,it Serie A,32,1987,20.5,486,700,69.4,8510,2817,14,37,37.8,394,523,75.3,78,140,55.7,3,1.9,+1.1,19,38,11,2,58,Matches
Dejan Kulusevski,se SWE,"FW,MF",Parma,it Serie A,19,2000,30.8,850,1085,78.3,13452,3872,32,76,42.1,706,835,84.6,112,174,64.4,8,7.3,+0.7,71,60,45,9,135,Matches
Marash Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,771,920,83.8,15790,5169,9,24,37.5,536,609,88.0,226,287,78.7,0,0.1,-0.1,2,45,2,0,47,Matches
Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,795,1022,77.8,16350,4427,9,35,25.7,569,662,86.0,217,325,66.8,0,2.0,-2.0,11,91,15,5,112,Matches
Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,30,1989,15.7,513,679,75.6,9451,2614,13,34,38.2,385,458,84.1,115,187,61.5,0,2.1,-2.1,24,49,26,13,86,Matches
Jasmin Kurtić,si SVN,"MF,FW",Parma,it Serie A,30,1989,16.5,574,696,82.5,11252,2963,14,33,42.4,425,473,89.9,135,190,71.1,1,1.7,-0.7,22,47,19,8,84,Matches
Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,605,671,90.2,8685,2974,20,31,64.5,535,573,93.4,50,67,74.6,0,0.2,-0.2,2,36,8,2,42,Matches
Dereck Kutesa,ch SUI,"FW,MF",Reims,fr Ligue 1,21,1997,5.9,112,152,73.7,1728,540,2,11,18.2,95,119,79.8,15,22,68.2,0,0.3,-0.3,4,7,10,2,19,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,de Bundesliga,19,2000,7.5,126,177,71.2,2006,397,3,12,25.0,108,142,76.1,15,23,65.2,2,1.4,+0.6,7,5,5,2,12,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,476,620,76.8,8161,3287,4,17,23.5,408,480,85.0,64,123,52.0,1,0.3,+0.7,7,26,10,4,64,Matches
Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,27,31,87.1,324,6,2,3,66.7,24,27,88.9,1,1,100.0,0,0.1,-0.1,2,0,0,0,0,Matches
Andrea La Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,80,111,72.1,1142,192,3,9,33.3,69,91,75.8,8,11,72.7,0,0.2,-0.2,4,5,0,0,6,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,436,657,66.4,6445,1478,16,54,29.6,376,516,72.9,44,87,50.6,5,2.7,+2.3,25,27,19,3,55,Matches
Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,387,499,77.6,5867,1065,21,46,45.7,306,360,85.0,60,93,64.5,4,2.9,+1.1,22,27,23,6,36,Matches
Riccardo Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.1,39,51,76.5,756,222,0,2,0.0,35,41,85.4,4,8,50.0,0,0.1,-0.1,2,6,0,0,4,Matches
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,551,884,62.3,17995,12597,0,4,0.0,267,269,99.3,284,611,46.5,0,0.1,-0.1,2,13,1,1,2,Matches
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,774,1026,75.4,20218,8928,9,15,60.0,403,465,86.7,362,546,66.3,2,0.8,+1.2,7,71,7,1,68,Matches
Jack Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,1067,1295,82.4,18757,5597,32,74,43.2,852,956,89.1,183,265,69.1,6,2.6,+3.4,14,104,22,2,134,Matches
Stefan Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,1105,1564,70.7,21647,9830,9,72,12.5,834,1050,79.4,262,442,59.3,3,3.9,-0.9,41,85,47,27,217,Matches
Diego Lainez,mx MEX,"MF,FW",Betis,es La Liga,19,2000,3.9,89,119,74.8,1176,308,4,11,36.4,77,96,80.2,8,12,66.7,0,0.0,0.0,2,1,5,2,12,Matches
Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,1011,1348,75.0,23512,8329,8,45,17.8,647,761,85.0,356,542,65.7,1,2.7,-1.7,30,92,34,13,195,Matches
Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,31,1988,4.2,229,270,84.8,3400,791,6,15,40.0,203,222,91.4,20,33,60.6,1,0.6,+0.4,5,23,4,0,18,Matches
Érik Lamela,ar ARG,"MF,FW",Tottenham,eng Premier League,27,1992,13.5,469,596,78.7,7262,1413,20,44,45.5,385,437,88.1,64,115,55.7,1,1.6,-0.6,17,27,19,1,51,Matches
Tariq Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,2000,0.4,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
Tariq Lamptey,eng ENG,DF,Brighton,eng Premier League,18,2000,6.5,173,235,73.6,2905,842,1,9,11.1,143,178,80.3,29,48,60.4,1,0.6,+0.4,4,11,6,5,29,Matches
Loïck Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,1992,10.3,304,389,78.1,6698,1947,2,5,40.0,196,224,87.5,106,160,66.3,0,0.1,-0.1,2,22,1,0,16,Matches
Michael Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,1991,6.0,266,328,81.1,4869,1720,1,8,12.5,220,251,87.6,45,69,65.2,0,0.6,-0.6,3,11,4,3,49,Matches
Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,1988,3.5,167,190,87.9,3608,951,2,6,33.3,108,120,90.0,57,64,89.1,0,0.0,0.0,0,8,0,0,3,Matches
Henri Lansbury,eng ENG,MF,Aston Villa,eng Premier League,28,1990,2.2,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches
Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,26,1993,15.3,674,798,84.5,10954,3118,29,43,67.4,539,601,89.7,106,154,68.8,2,2.4,-0.4,31,66,15,3,89,Matches
Gianluca Lapadula,it ITA,FW,Lecce,it Serie A,29,1990,17.9,235,304,77.3,3629,486,9,23,39.1,195,238,81.9,31,43,72.1,0,1.5,-1.5,20,11,5,0,15,Matches
Aymeric Laporte,fr FRA,DF,Manchester City,eng Premier League,25,1994,12.2,1041,1114,93.4,22473,6786,4,12,33.3,710,733,96.9,327,369,88.6,0,0.1,-0.1,1,109,1,0,81,Matches
Danilo Larangeira,br BRA,DF,Bologna,it Serie A,35,1984,27.4,915,1163,78.7,22226,8235,6,19,31.6,526,597,88.1,383,547,70.0,0,0.3,-0.3,5,73,10,1,79,Matches
Larra,es ESP,"FW,MF",Athletic Club,es La Liga,21,1997,2.8,45,77,58.4,657,126,2,5,40.0,38,51,74.5,5,21,23.8,0,0.1,-0.1,1,1,1,1,2,Matches
Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,736,1028,71.6,22376,12494,5,5,100.0,329,333,98.8,402,690,58.3,0,0.0,0.0,1,11,0,0,1,Matches
Kevin Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,27.1,323,467,69.2,4626,696,12,44,27.3,285,371,76.8,26,52,50.0,0,1.7,-1.7,19,14,16,3,29,Matches
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,1993,23.1,669,811,82.5,14591,3589,10,22,45.5,433,505,85.7,226,284,79.6,0,0.1,-0.1,2,25,2,0,20,Matches
Paul Lasne,fr FRA,"MF,FW",Brest,fr Ligue 1,30,1989,13.6,540,655,82.4,8994,2286,17,35,48.6,437,496,88.1,86,124,69.4,1,1.5,-0.5,15,46,13,3,59,Matches
Toni Lato,es ESP,"DF,MF",Osasuna,es La Liga,21,1997,5.2,168,256,65.6,2874,1175,4,16,25.0,136,171,79.5,28,69,40.6,0,0.3,-0.3,4,10,3,2,26,Matches
Danny Latza,de GER,MF,Mainz 05,de Bundesliga,29,1989,15.3,494,613,80.6,9965,2561,7,22,31.8,357,410,87.1,130,181,71.8,2,1.6,+0.4,20,42,12,1,69,Matches
Vincent Laurini,fr FRA,DF,Parma,it Serie A,30,1989,9.2,406,502,80.9,7822,3327,8,19,42.1,303,329,92.1,95,154,61.7,2,0.9,+1.1,8,35,8,4,73,Matches
Wesley Lautoa,nc NCL,"MF,DF",Dijon,fr Ligue 1,31,1987,20.8,867,989,87.7,19296,5657,9,27,33.3,566,620,91.3,292,342,85.4,1,0.3,+0.7,7,62,5,0,61,Matches
Diego Laxalt,uy URU,"DF,MF",Torino,it Serie A,26,1993,6.6,214,297,72.1,3424,1197,1,10,10.0,186,222,83.8,27,65,41.5,1,0.5,+0.5,6,11,4,2,29,Matches
Diego Laxalt,uy URU,DF,Milan,it Serie A,26,1993,1.9,95,119,79.8,1799,627,1,3,33.3,71,79,89.9,23,37,62.2,0,0.1,-0.1,1,5,4,4,20,Matches
Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,eng Premier League,23,1996,5.3,158,194,81.4,2664,1051,5,7,71.4,127,138,92.0,26,49,53.1,0,0.2,-0.2,6,8,4,1,12,Matches
Valentino Lazaro,at AUT,"DF,MF",Inter,it Serie A,23,1996,3.6,152,200,76.0,2727,992,1,11,9.1,119,140,85.0,32,49,65.3,1,1.3,-0.3,9,6,9,5,23,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,28,1990,34.0,1169,1570,74.5,19008,8035,21,84,25.0,1003,1190,84.3,145,296,49.0,6,7.6,-1.6,47,61,69,17,257,Matches
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,26.8,802,1015,79.0,12928,2951,19,57,33.3,677,780,86.8,106,178,59.6,3,3.5,-0.5,36,10,41,20,75,Matches
Mickaël Le Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,18,23,78.3,243,12,1,3,33.3,16,17,94.1,1,3,33.3,1,0.1,+0.9,1,1,1,0,1,Matches
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,1516,1695,89.4,31910,8059,11,30,36.7,1074,1149,93.5,431,516,83.5,0,0.3,-0.3,5,69,3,0,89,Matches
Damien Le Tallec,fr FRA,"MF,DF",Montpellier,fr Ligue 1,29,1990,27.3,797,989,80.6,15954,5188,16,26,61.5,574,673,85.3,207,290,71.4,0,0.7,-0.7,11,85,7,2,91,Matches
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,324,430,75.3,6000,1285,9,18,50.0,248,293,84.6,67,119,56.3,0,0.9,-0.9,8,27,5,2,32,Matches
Rafael Leão,pt POR,FW,Milan,it Serie A,20,1999,14.7,340,450,75.6,5549,1133,17,40,42.5,282,349,80.8,41,61,67.2,1,3.0,-2.0,27,11,20,8,38,Matches
Adrien Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,3,6,50.0,39,5,0,1,0.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Mathew Leckie,au AUS,"DF,FW",Hertha BSC,de Bundesliga,28,1991,2.2,61,85,71.8,1103,283,1,9,11.1,50,61,82.0,10,15,66.7,0,0.0,0.0,0,3,0,0,9,Matches
Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,627,848,73.9,19802,13268,2,4,50.0,296,302,98.0,329,542,60.7,0,0.1,-0.1,1,5,0,0,1,Matches
Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,1025,1224,83.7,19334,5102,19,51,37.3,790,876,90.2,216,297,72.7,6,4.4,+1.6,34,112,25,6,134,Matches
Jordan Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,400,484,82.6,8438,3977,3,9,33.3,280,303,92.4,117,172,68.0,1,0.3,+0.7,3,22,1,1,36,Matches
Wu Lei,cn CHN,"FW,MF",Espanyol,es La Liga,27,1991,19.1,208,317,65.6,3158,695,8,28,28.6,180,244,73.8,20,45,44.4,0,1.7,-1.7,13,13,6,3,18,Matches
Toni Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,524,622,84.2,13343,4804,1,8,12.5,281,314,89.5,242,300,80.7,0,0.1,-0.1,3,43,5,1,37,Matches
Moritz Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,472,553,85.4,7841,1732,12,23,52.2,390,430,90.7,70,100,70.0,0,0.4,-0.4,8,46,16,2,45,Matches
Lucas Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,1002,1135,88.3,19833,5548,18,39,46.2,740,811,91.2,244,285,85.6,1,2.0,-1.0,18,97,11,1,114,Matches
Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,136,187,72.7,2876,1077,0,3,0.0,97,117,82.9,39,67,58.2,0,0.1,-0.1,1,9,0,0,13,Matches
Iñigo Lekue,es ESP,"FW,DF",Athletic Club,es La Liga,26,1993,6.9,195,283,68.9,3283,1060,4,13,30.8,165,200,82.5,26,70,37.1,1,0.8,+0.2,9,10,6,4,27,Matches
Nicolas Lemaître,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,22,27,81.5,492,239,0,0,,18,18,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,319,405,78.8,5903,1759,8,22,36.4,240,278,86.3,71,105,67.6,0,0.4,-0.4,6,29,10,2,60,Matches
Tim Lemperle,de GER,"FW,MF",Köln,de Bundesliga,17,2002,0.2,2,2,100.0,24,8,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,1989,2148,92.6,41975,13188,21,37,56.8,1366,1426,95.8,602,685,87.9,1,0.6,+0.4,5,165,2,0,106,Matches
Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches
Bernd Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,742,990,74.9,18293,9806,5,6,83.3,486,491,99.0,251,493,50.9,0,0.0,0.0,0,3,0,0,0,Matches
Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,816,1143,71.4,15089,6869,16,59,27.1,606,736,82.3,194,348,55.7,3,2.8,+0.2,20,58,21,12,158,Matches
Donovan Léon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,28,41,68.3,921,545,0,0,,13,13,100.0,15,28,53.6,0,0.0,0.0,0,0,0,0,0,Matches
Pedro León,es ESP,"MF,FW",Eibar,es La Liga,32,1986,21.1,416,717,58.0,7518,2784,14,48,29.2,316,419,75.4,86,250,34.4,2,4.3,-2.3,43,26,23,15,94,Matches
Sergio León,es ESP,FW,Levante,es La Liga,30,1989,7.5,63,108,58.3,1098,150,4,14,28.6,47,72,65.3,12,22,54.5,0,0.1,-0.1,2,4,2,0,6,Matches
Lukas Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,13.4,436,524,83.2,6810,1850,12,26,46.2,369,424,87.0,55,74,74.3,0,1.0,-1.0,10,36,8,2,46,Matches
Mehdi Léris,fr FRA,"MF,FW",Sampdoria,it Serie A,21,1998,4.4,129,173,74.6,2227,688,4,10,40.0,106,124,85.5,19,39,48.7,0,0.3,-0.3,5,13,6,3,18,Matches
Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,1093,1377,79.4,21981,6524,18,41,43.9,798,934,85.4,277,402,68.9,2,1.9,+0.1,12,119,16,0,123,Matches
Karlo Letica,hr CRO,GK,SPAL,it Serie A,22,1997,9.0,179,290,61.7,5654,3949,2,3,66.7,94,94,100.0,83,193,43.0,0,0.0,0.0,1,0,0,0,0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,592,783,75.6,9019,1801,15,56,26.8,504,619,81.4,73,108,67.6,4,6.1,-2.1,37,36,43,7,77,Matches
Jamal Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,1036,1306,79.3,17173,6330,15,59,25.4,887,1023,86.7,134,224,59.8,0,1.0,-1.0,15,41,20,8,115,Matches
Aaron Leya Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,142,183,77.6,1879,252,7,12,58.3,122,153,79.7,13,18,72.2,0,0.2,-0.2,4,11,2,0,11,Matches
Stephan Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,404,584,69.2,7245,4197,7,30,23.3,327,405,80.7,70,149,47.0,1,0.5,+0.5,9,31,9,4,123,Matches
Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,810,1038,78.0,18853,4513,10,22,45.5,509,564,90.2,291,452,64.4,3,2.8,+0.2,34,89,24,10,115,Matches
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,891,1024,87.0,20846,5652,1,9,11.1,552,588,93.9,338,427,79.2,1,0.5,+0.5,2,48,4,0,48,Matches
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,1394,1525,91.4,29594,7983,36,51,70.6,923,981,94.1,435,493,88.2,0,0.2,-0.2,3,80,1,0,54,Matches
Isaac Lihadji,fr FRA,"DF,MF",Marseille,fr Ligue 1,17,2002,0.3,12,16,75.0,189,62,0,2,0.0,10,12,83.3,2,2,100.0,0,0.0,0.0,0,1,1,0,3,Matches
Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,100,124,80.6,2164,871,0,2,0.0,75,84,89.3,25,38,65.8,0,0.1,-0.1,1,10,3,1,26,Matches
Anderson Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.6,23,28,82.1,401,144,1,1,100.0,19,21,90.5,3,6,50.0,0,0.3,-0.3,2,4,0,0,5,Matches
Lucas Lima,br BRA,"FW,DF",Nantes,fr Ligue 1,27,1991,3.0,121,180,67.2,2282,856,1,8,12.5,98,115,85.2,22,57,38.6,0,0.3,-0.3,5,12,4,2,23,Matches
Anthony Limbombe,be BEL,"FW,MF",Nantes,fr Ligue 1,25,1994,1.7,36,53,67.9,527,148,1,4,25.0,31,39,79.5,4,10,40.0,0,0.1,-0.1,2,1,0,0,4,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,1764,2013,87.6,35557,11011,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.4,-0.4,4,83,1,0,95,Matches
