player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,27,1992,25.7,1001,1287,77.8,16928,7340,13,46,28.3,835,959,87.1,153,282,54.3,0,0.3,-0.3,7,73,15,7,154,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,28,1990,6.9,132,192,68.8,2533,691,1,5,20.0,97,122,79.5,34,65,52.3,1,0.8,+0.2,10,4,9,8,20,Matches
Markel Bergara,es ESP,MF,Getafe,es La Liga,33,1986,0.8,10,19,52.6,148,17,0,2,0.0,10,16,62.5,0,1,0.0,0,0.1,-0.1,1,0,0,0,1,Matches
Sander Berge,no NOR,MF,Sheffield Utd,eng Premier League,21,1998,10.5,298,386,77.2,5251,1145,5,23,21.7,233,280,83.2,60,83,72.3,1,0.5,+0.5,2,30,9,2,31,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,eng Premier League,21,1997,7.8,225,259,86.9,3150,545,10,15,66.7,193,215,89.8,22,29,75.9,1,1.0,0.0,13,10,11,4,18,Matches
Robert Berić,si SVN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,4.6,46,71,64.8,525,80,9,15,60.0,35,52,67.3,2,4,50.0,0,0.2,-0.2,3,2,3,1,4,Matches
Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26.0,623,884,70.5,20114,13785,2,3,66.7,281,283,99.3,340,598,56.9,0,0.1,-0.1,1,6,0,0,0,Matches
Valon Berisha,xk KVX,"MF,FW",Lazio,it Serie A,26,1993,0.4,5,7,71.4,83,30,0,0,,4,5,80.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
Valon Berisha,xk KVX,"MF,FW",Düsseldorf,de Bundesliga,26,1993,10.5,331,401,82.5,5983,1114,7,15,46.7,246,283,86.9,78,103,75.7,1,0.8,+0.2,12,22,8,3,36,Matches
Sergio Bermejo,es ESP,FW,Celta Vigo,es La Liga,21,1997,0.1,3,3,100.0,45,18,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
Bernard,br BRA,"MF,FW",Everton,eng Premier League,26,1992,14.2,427,573,74.5,6996,1963,9,42,21.4,356,429,83.0,62,102,60.8,2,1.9,+0.1,22,37,26,6,66,Matches
Federico Bernardeschi,it ITA,"MF,FW",Juventus,it Serie A,25,1994,15.7,489,599,81.6,8170,1916,13,34,38.2,391,440,88.9,85,125,68.0,1,3.0,-2.0,28,35,21,2,62,Matches
Bernardo,br BRA,DF,Brighton,eng Premier League,24,1995,7.5,286,383,74.7,4721,2080,4,15,26.7,241,296,81.4,41,72,56.9,0,0.2,-0.2,3,25,8,3,50,Matches
Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,24.5,425,704,60.4,14558,9631,2,3,66.7,178,179,99.4,245,522,46.9,0,0.0,0.0,0,15,1,0,0,Matches
Juan Bernat,es ESP,"DF,MF",Paris S-G,fr Ligue 1,26,1993,15.4,1011,1122,90.1,15051,3698,15,38,39.5,907,972,93.3,89,112,79.5,4,2.4,+1.6,14,50,16,3,64,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,2.2,59,67,88.1,1821,1073,1,1,100.0,24,24,100.0,34,42,81.0,0,0.0,0.0,0,0,0,0,0,Matches
Andrea Bertolacci,it ITA,MF,Sampdoria,it Serie A,28,1991,4.9,166,204,81.4,3045,800,2,4,50.0,129,152,84.9,35,48,72.9,0,0.1,-0.1,2,15,2,1,19,Matches
Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,29,1989,30.5,1244,1656,75.1,20897,8987,29,90,32.2,1020,1209,84.4,195,357,54.6,1,3.5,-2.5,34,106,34,16,243,Matches
Muhamed Bešić,ba BIH,MF,Sheffield Utd,eng Premier League,26,1992,2.8,86,106,81.1,1516,328,1,5,20.0,66,76,86.8,19,25,76.0,0,0.1,-0.1,1,6,2,0,10,Matches
Louis Beyer,de GER,DF,M'gladbach,de Bundesliga,19,2000,1.2,33,41,80.5,591,155,2,2,100.0,23,27,85.2,8,12,66.7,0,0.0,0.0,0,0,0,0,3,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,29,1990,13.1,701,789,88.8,13746,5069,10,17,58.8,530,561,94.5,161,211,76.3,0,0.3,-0.3,2,39,4,0,65,Matches
Pedro Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,480,699,68.7,11846,4452,4,8,50.0,280,346,80.9,196,345,56.8,0,0.3,-0.3,3,40,5,1,68,Matches
Lucas Biglia,ar ARG,MF,Milan,it Serie A,33,1986,7.5,392,431,91.0,7395,2316,9,14,64.3,297,318,93.4,86,99,86.9,1,0.4,+0.6,7,39,3,0,40,Matches
El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,17,2001,5.0,50,68,73.5,686,103,2,4,50.0,45,60,75.0,3,4,75.0,0,0.2,-0.2,3,2,0,0,1,Matches
Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,28.1,879,1180,74.5,15923,3967,20,50,40.0,657,839,78.3,202,291,69.4,1,1.4,-0.4,16,77,16,2,88,Matches
Cristiano Biraghi,it ITA,"DF,MF",Inter,it Serie A,26,1992,16.5,613,863,71.0,11239,4564,15,52,28.8,479,560,85.5,119,251,47.4,5,3.4,+1.6,32,28,31,22,122,Matches
Davide Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.4,881,1177,74.9,17038,7132,19,59,32.2,644,734,87.7,218,384,56.8,1,0.6,+0.4,8,76,12,7,118,Matches
