player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_tackles_tackles,header_tackles_tackles_won,header_tackles_tackles_def_3rd,header_tackles_tackles_mid_3rd,header_tackles_tackles_att_3rd,header_dribbles_def_dribble_tackles,header_dribbles_def_dribbles_vs,header_dribbles_def_dribble_tackles_pct,header_dribbles_def_dribbled_past,header_pressures_pressures,header_pressures_pressure_regains,header_pressures_pressure_regain_pct,header_pressures_pressures_def_3rd,header_pressures_pressures_mid_3rd,header_pressures_pressures_att_3rd,header_blocks_blocks,header_blocks_blocked_shots,header_blocks_blocked_shots_saves,header_blocks_blocked_passes,interceptions,clearances,errors,matches
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,50,22,24,21,5,25,50,50.0,25,248,60,24.2,118,106,24,39,8,0,31,18,68,1,Matches
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,4,3,1,1,2,1,1,100.0,0,15,2,13.3,4,7,4,3,1,0,2,0,1,0,Matches
Kevin Agudelo,co COL,"FW,DF",Fiorentina,it Serie A,20,1998,0.1,1,1,0,1,0,0,0,,0,8,3,37.5,1,5,2,0,0,0,0,0,0,0,Matches
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,25,18,12,10,3,10,26,38.5,16,217,46,21.2,72,109,36,12,1,0,11,6,3,0,Matches
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,14,11,9,4,1,6,13,46.2,7,106,28,26.4,74,30,2,21,13,0,8,18,88,2,Matches
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,7,5,0,4,3,1,6,16.7,5,222,56,25.2,13,74,135,15,2,0,13,3,3,0,Matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,39,28,20,14,5,18,27,66.7,9,203,71,35.0,99,75,29,11,2,0,9,11,25,1,Matches
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.5,2,1,0,2,0,0,2,0.0,2,30,4,13.3,13,11,6,4,2,0,2,1,6,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,21,19,5,14,2,4,11,36.4,7,148,57,38.5,24,104,20,8,1,0,7,16,13,0,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,40,26,28,11,1,8,28,28.6,20,304,108,35.5,218,79,7,42,16,0,26,46,162,1,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.5,46,26,23,19,4,21,46,45.7,25,319,93,29.2,135,128,56,67,8,0,59,42,56,1,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,10,7,7,3,0,2,25,8.0,23,164,47,28.7,41,108,15,12,2,0,10,5,7,1,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,32,18,13,11,8,6,24,25.0,18,224,83,37.1,104,83,37,32,1,0,31,20,51,0,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,0,0,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,18,14,3,13,2,3,19,15.8,16,280,75,26.8,19,146,115,11,2,0,9,3,23,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,44,23,29,13,2,17,30,56.7,13,223,86,38.6,129,83,11,35,11,0,24,32,85,3,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,4,2,2,2,0,1,2,50.0,1,15,4,26.7,3,10,2,0,0,0,0,1,0,0,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,176,1,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,17,13,7,7,3,3,17,17.6,14,140,43,30.7,40,71,29,8,1,0,7,5,4,0,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,27,11,19,8,0,15,32,46.9,17,169,56,33.1,106,54,9,31,10,0,21,12,67,1,Matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,27,17,10,17,0,10,24,41.7,14,207,79,38.2,78,109,20,40,11,0,29,30,65,0,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,48,29,27,12,9,24,49,49.0,25,250,76,30.4,123,82,45,23,2,0,21,21,35,2,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7,2,1,3,3,3,10,30.0,7,185,51,27.6,5,72,108,9,2,0,7,1,5,0,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,234,69,29.5,90,97,47,41,5,0,36,38,42,1,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,32.6,48,32,22,20,6,19,82,23.2,63,650,197,30.3,180,309,161,39,1,0,38,23,16,0,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,43,254,4,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,192,66,34.4,46,95,51,18,1,0,17,8,6,0,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,9,0,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,1,8,12.5,7,88,22,25.0,4,39,45,3,1,0,2,1,2,0,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,54,38,19,29,6,14,40,35.0,26,292,101,34.6,68,167,57,21,4,0,17,46,19,1,Matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,15,68,0,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,26,229,3,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,44,28,24,17,3,20,50,40.0,30,374,105,28.1,170,160,44,55,13,1,42,34,98,1,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,0,0,0,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,5,20.0,4,38,6,15.8,10,21,7,2,0,0,2,0,1,0,Matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,20,11,4,10,6,7,20,35.0,13,136,26,19.1,34,68,34,9,2,0,7,1,4,0,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,1,1,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,58,25,37,15,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,46,98,2,Matches
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,13,11,2,8,3,4,13,30.8,9,373,84,22.5,10,213,150,4,0,0,4,3,10,0,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,2,1,Matches
Allan,br BRA,MF,Napoli,it Serie A,28,1991,13.9,55,36,21,25,9,17,50,34.0,33,410,104,25.4,121,218,71,26,3,0,23,13,16,0,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,14,17,0,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,733,175,23.9,236,279,218,44,1,0,43,30,16,0,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,20,49,0,Matches
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,43,19,30,10,3,16,34,47.1,18,221,59,26.7,122,81,18,38,5,0,33,16,82,0,Matches
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,37,20,14,22,1,9,34,26.5,25,265,80,30.2,84,150,31,25,3,0,22,16,58,0,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,64,264,2,Matches
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,28.2,21,10,15,6,0,8,13,61.5,5,155,46,29.7,120,28,7,40,26,1,14,24,181,2,Matches
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,14,0,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,58,1,Matches
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,11,8,0,Matches
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43,22,20,20,3,14,57,24.6,43,438,123,28.1,155,242,41,25,8,0,17,36,22,1,Matches
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,0,1,0,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,62,28,40,17,5,31,68,45.6,37,287,88,30.7,142,98,47,53,5,0,48,56,131,1,Matches
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,7,5,1,4,2,1,8,12.5,7,122,37,30.3,25,53,44,5,0,0,5,2,3,0,Matches
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,15,22,4,1,9,23,39.1,14,218,51,23.4,128,56,34,25,9,0,16,19,61,2,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,18,13,7,8,3,4,26,15.4,22,286,98,34.3,50,153,83,28,2,0,26,14,9,1,Matches
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,3,4,1,0,1,2,50.0,1,15,8,53.3,9,6,0,2,1,0,1,1,7,0,Matches
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,10,6,4,4,2,3,12,25.0,9,90,21,23.3,21,42,27,4,0,0,4,4,5,0,Matches
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,30.5,59,40,27,22,10,18,60,30.0,42,560,159,28.4,156,295,109,39,13,0,26,30,29,2,Matches
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,18,10,16,2,0,6,19,31.6,13,107,34,31.8,79,24,4,22,14,0,8,10,95,2,Matches
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1,1,1,0,0,0,0,,0,24,5,20.8,10,9,5,5,0,0,5,3,2,0,Matches
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,14,0,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,18,11,1,9,8,8,25,32.0,17,579,143,24.7,25,294,260,31,5,0,26,4,40,0,Matches
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,1,0,Matches
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,83,63,34,44,5,37,100,37.0,63,593,190,32.0,191,313,89,45,12,0,33,61,47,0,Matches
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,3.9,0,0,0,0,0,0,2,0.0,2,4,2,50.0,4,0,0,0,0,0,0,0,0,0,Matches
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,78,46,38,32,8,27,69,39.1,42,639,158,24.7,193,372,74,39,7,0,32,43,65,0,Matches
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,25,16,14,10,1,14,30,46.7,16,243,62,25.5,68,148,27,15,2,0,13,5,8,0,Matches
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,2,5,0,Matches
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,1,1,1,Matches
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,108,36,40,6,0,34,34,100,0,Matches
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,14,8,7,4,3,7,20,35.0,13,127,50,39.4,36,58,33,35,1,0,34,19,24,0,Matches
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,18,0,Matches
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,0,0,Matches
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.3,10,5,5,4,1,2,15,13.3,13,146,32,21.9,64,44,38,26,5,0,21,8,20,2,Matches
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,18.3,41,26,27,9,5,13,36,36.1,23,260,86,33.1,106,88,66,25,2,0,23,14,29,2,Matches
Janis Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,,0,,,,,,,,,,,,,,,,,,0,,,Matches
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,9,9,0,Matches
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,148,49,33.1,87,46,15,24,0,0,24,18,24,0,Matches
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,4,2,1,0,3,2,3,66.7,1,23,6,26.1,5,13,5,2,0,0,2,2,2,0,Matches
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,31,20,15,14,2,9,38,23.7,29,483,123,25.5,144,216,123,46,2,0,44,17,13,0,Matches
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,5,1,0,Matches
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,28,19,8,16,4,3,28,10.7,25,388,100,25.8,88,205,95,19,1,0,18,13,12,0,Matches
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,2,2,2,0,0,0,2,0.0,2,29,7,24.1,6,10,13,3,0,0,3,0,0,0,Matches
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,63,32,39,16,8,19,45,42.2,26,303,97,32.0,146,126,31,20,3,0,17,21,65,0,Matches
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,74,49,28,38,8,20,63,31.7,43,800,207,25.9,170,515,115,69,6,0,63,41,49,0,Matches
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,5,2,2,3,0,3,4,75.0,1,24,7,29.2,14,6,4,2,0,0,2,2,2,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,55,31,23,28,4,28,75,37.3,47,529,197,37.2,165,289,75,38,6,0,32,23,34,1,Matches
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,18,9,3,8,7,6,32,18.8,26,262,75,28.6,41,114,107,16,0,0,16,5,7,0,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,52,205,0,Matches
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,1,11,0,Matches
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,31,136,2,Matches
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,24,35,0,Matches
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1,0,1,0,0,1,1,100.0,0,5,1,20.0,5,0,0,0,0,0,0,0,1,0,Matches
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,49,25,27,14,8,13,46,28.3,33,407,129,31.7,115,187,105,24,5,0,19,10,22,1,Matches
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,5,3,0,4,1,0,12,0.0,12,164,43,26.2,26,69,69,14,0,0,14,6,6,0,Matches
José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,4,3,3,1,0,1,4,25.0,3,76,17,22.4,21,36,19,7,0,0,7,2,1,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,57,35,21,31,5,22,83,26.5,61,578,185,32.0,169,320,89,37,7,0,30,29,45,0,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,1,1,2,Matches
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,9,5,4,4,1,6,15,40.0,9,96,25,26.0,28,43,25,9,1,0,8,10,12,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,31,21,18,11,2,8,27,29.6,19,203,65,32.0,108,82,13,22,3,0,19,13,19,0,Matches
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,1,0,Matches
Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,5,4,3,2,0,1,6,16.7,5,34,11,32.4,12,13,9,2,0,0,2,1,3,0,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.4,2,1,2,0,0,2,3,66.7,1,4,0,0.0,3,1,0,0,0,0,0,1,0,0,Matches
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,29,21,7,11,11,12,34,35.3,22,537,146,27.2,80,222,235,24,4,0,20,22,6,0,Matches
Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,3,1,2,0,1,0,4,0.0,4,70,18,25.7,8,30,32,6,0,0,6,0,1,0,Matches
Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,1,1,0,1,0,1,1,100.0,0,15,4,26.7,6,6,3,2,1,0,1,2,2,0,Matches
Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,98,105,40,28,1,0,27,2,6,0,Matches
Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,29,17,15,10,4,15,34,44.1,19,195,53,27.2,75,77,43,24,0,0,24,20,12,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,39,24,15,14,10,12,50,24.0,38,573,130,22.7,113,256,204,59,2,0,57,11,16,0,Matches
Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,1,2,Matches
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,10.6,14,12,6,4,4,5,8,62.5,3,91,16,17.6,45,28,18,19,2,0,17,13,15,1,Matches
Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,2,0,0,2,0,0,4,0.0,4,39,13,33.3,4,20,15,2,0,0,2,2,0,0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,30,18,17,11,2,13,32,40.6,19,164,56,34.1,77,57,30,23,5,0,18,13,35,0,Matches
Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,262,187,72,58,7,0,51,43,105,1,Matches
Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,24,11,6,11,7,4,22,18.2,18,316,71,22.5,71,164,81,24,2,0,22,9,6,0,Matches
Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,19,16,6,10,3,5,15,33.3,10,342,92,26.9,22,141,179,17,0,0,17,4,7,0,Matches
